id,nombre,resumen_salidas
45,Estudios Ingleses,"Asesoramiento político, planificación lingüística, gestión documental, enseñanza no universitaria, universitaria y escritura creativa, gestión cultural y artística, recursos humanos, educativa, investigación lingüística y literaria, mediación lingüística, medios de comunicación, peritaje judicial en lingüística forense, registro de museos e instituciones culturales, relaciones públicas y tecnologías del lenguaje."
46,Estudios HispanoAlemanes,"Titulados pueden trabajar en traducción, interpretación, medios de comunicación, turismo, recursos humanos, administraciones públicas, asesoramiento político, gestión editorial, cultura y relaciones públicas."
47,"Lenguas Modernas, Cultura y Comunicacion: espanol, frances o ingles","Graduados en Lenguas Modernas, Cultura y Comunicación. Capacitados para la comunicación multilingüe y enseñanza. Actividades relacionadas con servicios lingüísticos y comunicación."
48,Lenguas Modernas y sus Literaturas,"Titulados versátiles con capacidad de adaptación a distintas situaciones laborales como gestión cultural, turística, documentación y bibliotecas, medios de comunicación, industria editorial, investigación, mediación lingüística e intercultural, planificación lingüística, profesorado en universidades y escuelas de idiomas, selección de recursos humanos y traducción."
49,Paisajismo,"Paisajista: diseño, ejecución, gestión y mantenimiento de espacios abiertos; restauración de áreas alteradas; evaluaciones ambientales; estudios climáticos, geológicos y bióticos; asesoramiento técnico."
50,Lenguas Modernas y Traduccion,"Los futuros titulados pueden trabajar en servicios de traducción, empresas turísticas, enseñanza de lenguas, mediación lingüística, edición de textos, comunicación intercultural y gestión cultural."
51,Traduccion e Interpretacion,"Traductores e intérpretes trabajan en congresos, conferencias, empresas, medios de comunicación, enseñanza y organismos internacionales. Existen salidas profesionales como profesores de idiomas extranjeros o ejercicio libre de la traducción."
52,Ciencias de la Actividad Fisica y del Deporte,"Profesionales que realizan entrenamiento, gestión deportiva, animación física, asesoramiento pedagógico y trabajo en educación física, fisioterapia y rehabilitación."
53,Ciencias de la Actividad Fisica y del Deporte,"Profesionales que realizan entrenamiento, gestión deportiva, animación física, asesoramiento pedagógico y trabajo en educación física y especializada."
54,Gestion Deportiva,"Egresados pueden trabajar en dirección, planificación y administración de actividades deportivas, eventos y fitness en clubes, empresas de eventos, administraciones públicas, cadenas de fitness, turismo activo, consultoría y asesoramiento deportivo."
55,Gestion Deportiva,"Egresados se desempeñan en dirección, planificación y administración de actividades deportivas, fitness y ocio en clubes, empresas y administraciones públicas."
56,"Ciencias del Trabajo, Relaciones Laborales y Recursos Humanos","Prepara a futuros graduados para ejercer en recursos humanos, representantes de empresas y trabajadores ante organismos de conciliación y Tribunales de lo Social."
57,Relaciones Laborales y Recursos Humanos,"Graduados en asesoramiento jurídico-laboral, dirección de recursos humanos, gestión del mercado de trabajo, salud laboral y políticas sociolaborales. Profesionales liberales, directores de RRHH, mediadores, expertos en salud laboral y consultores sociolaborales."
58,Relaciones Labores y Empleo,"Serán titulados con formación multidisciplinar, ofreciendo oportunidades en recursos humanos, diseño de políticas de formación, orientación profesional, consultoría laboral y dirección de relaciones laborales a nivel nacional e internacional."
59,Ciencias Politicas,"Graduados en administración pública pueden trabajar en empleo público o privado. Pueden desempeñar roles como inspectores, técnicos, administradores y agentes de desarrollo en áreas como calidad medio ambiente, comercio exterior, consultoría y marketing."
60,Ciencia Politica y Gestion Publica,"Graduados en Ciencia Política y Administración Pública pueden trabajar en administraciones públicas, organismos internacionales, medios de comunicación, etc. como técnicos superiores, analistas de mercados y gestores administrativos."
61,Ciencia Politica y de la Administracion,"Graduados en administra ciones públicas, organismos internacionales, medios de comunicación y empresas de consultoría. Analizan procesos, mercados y estructuras políticas y administrativas desde perspectivas jurídica, social, histórica y económica."
62,Gestion y Administracion Publica,"Técnicos en relaciones institucionales y políticas que trabajan en despachos legales, empresas y organismos públicos. Realizan estudios y asesorías para empresas e investigación sobre opinión pública."
63,Historia y Politica,"Grado bilingüe para futuros profesionales en Politología, Ciencias Sociales y Historia con vocación analítica y comparatista. Abre amplias salidas profesionales como la función pública."
64,Estudios Internacionales,"Graduados en Relaciones Internacionales pueden trabajar en Organizaciones Intergubernamentales, Servicio Exterior del Estado, Administración de la UE, docencia, información y comunicación internacionales."
65,Bachelor of European Studies (BAES),"Graduados pueden trabajar en organizaciones intergubernamentales, servicio exterior del estado, administración europea, docencia, análisis de información e inteligencia, periodismo internacional y comunicación."
66,Sociologia,"Técnicos en sociología política, familiar o electoral; demógrafos. Trabajan en marketing, recursos humanos y selección de personal. También en cooperación y desarrollo, Administración Pública, docencia e investigación."
67,Comercio,"Graduados en Comercio pueden desempeñar puestos como responsable de gestión, comercial, mercadotecnia, ventas, producto, distribución y técnico comercial del Estado."
68,Marketing y Comunicacion,"El Grado en Marketing ofrece oportunidades en marketing, publicidad y ventas en empresas públicas y privadas, así como en investigación de mercados, consultoría y distribución comercial. También se pueden desarrollar carreras docentes."
69,CC. Juridicas de las Administraciones Publicas,"Graduados en administración pública pueden trabajar en diversas áreas como la Unión Europea, Administraciones estatal, autonómica y local."
70,Criminologia,"Criminólogo - Desarrolla labor en policial, instituciones penitenciarias y judicial. Asesora a jueces y trabaja en seguridad privada."
71,Seguridad,"Egresados pueden trabajar en investigación criminológica, seguridad pública, privada e instituciones penitenciarias, o como peritos, directivos, asesores o terapeutas."
72,Derecho,"Los graduados pueden trabajar como abogados, directores de recursos humanos, inspectores, etc. Desarrollan su actividad en despachos de abogados, departamentos de administración y asesorías. Pueden ejercer la profesión libremente o dedicarse a la docencia e investigación."
73,Derecho Sorbona (Titulacion Internacional),"Grado en Derecho y Maîtrise en Droit; Abogado, procurador, agente de propiedad industrial, auditor de cuentas; diplomático, funcionario internacional, notario, juez, fiscal; letrado, inspector de trabajo, técnico superior de la administración pública."
74,"Filosofia, Politica, Derecho y Economia","Formación versátil para puestos en organizaciones privadas y públicas. Competencias analíticas y internacionalización para ocupar puestos destacados en multinacionales. Ámbitos de inserción laboral: política, periodismo, industria, educación, dirección de empresas, consultoría, relaciones públicas, servicios diplomáticos, gobiernos autonómicos y locales, organizaciones internacionales."
75,Economia,"Graduados en empresas de seguros, bancos y contabilidad. Realizan investigaciones económicas y análisis de procesos."
76,Economia y Finanzas,"Graduados pueden trabajar en mercados financieros, departamentos financieros de empresas, consultoría económica y más."
77,Direccion Internacional de Negocios,"El grado otorga habilidades profesionales demandadas, permitiendo desempeñar funciones directivas o técnicas en empresas internacionales, centros de estudio e investigación, y administraciones. Los graduados pueden trabajar en creación de empresas, docencia, función pública, consultoría, análisis económico, gestión de negocios internacionales y desarrollo económico."
78,Bachelor in International Business Management,"El grado otorga habilidades profesionales demandadas, permitiendo desempeñar funciones directivas o técnicas en empresas privadas, centros de estudio e investigación, y administraciones nacionales e internacionales. Los graduados pueden trabajar en creación de empresas, docencia, función pública, consultoría, análisis económico y gestión de negocios internacionales."
79,"Finanzas, Banca y Seguros Un","Graduados en funciones técnicas en seguros, banca, auditoría y consultoría. Oportunidades en organismos supervisores, administraciones públicas y empresas no financieras."
80,Contabilidad y Finanzas,"Grados en Finanzas y Contabilidad para formar profesionales en control presupuestario, gestión de tesorería y contabilidad financiera."
81,Economia Financiera y Actuarial,"Especialistas en seguros, directores de administración y finanzas, técnicos de contabilidad y actuariales, asesores financieros y técnicos inversores. Trabajan en entidades aseguradoras, departamentos de administración y finanzas, asesorías y consultorías."
82,Analisis de Negocios,"Alta empleabilidad, puestos demandados en tecnología y banca."
83,Business Analytics,"Alta empleabilidad, puestos demandados en tecnología y banca."
84,Analitica de Negocio,"Alta empleabilidad, puestos demandados en tecnología y banca."
85,Magisterio en Educacion Infantil,"Titulados en educación infantil pueden ser jefes de estudio o directores de colegio, trabajando en centros educativos como escuelas infantiles, hospitales y ONGs."
86,Magisterio en Educacion Primaria,"Grado en Educación Primaria, acceso a ser maestro en educación primaria, trabajo en centros de enseñanza y animación sociocultural."
87,Educacion Social,"Trabajan en justicia, bienestar social, educación y administración; realizan actividades de animación sociocultural, educación para adultos y especializada."
88,Pedagogia,"Graduados en educación con especializaciones en enseñanza, tecnología del aprendizaje, educación especializada, orientación y formación docente. Desarrollan su actividad en centros de enseñanza, empresas educativas y editoriales."
89,Comportamiento y Ciencias Sociales,"Experto en comportamiento del consumidor y análisis de mercados, con experiencia en gestión de talentos, análisis gubernamental y consejería social."
90,Administracion de Empresas,"Trabajan como directores, técnicos y asesores en consultorías, empresas y administraciones."
91,Administracion y Direccion de Empresas,"Titulados pueden trabajar como directores, administradores, contables, técnicos de marketing, jefes comerciales, recursos humanos e investigación. Desarrollan su actividad en consultorías, asesorías, auditorías y empresas."
92,Direccion y Gestion de Empresas en el Ambito Digital,"Grado enfocado en la em pleabilidad, con formación para responder a necesidades actuales de empresas españolas en el ámbito digital. Existen tres vectores de empleabilidad: empresas de nueva creación, transformación digital y empresas convencionales con parte del negocio en entorno digital. Los egresados pueden desempeñar funciones clave como marketing, comunicación, producto, ventas e I+D."
93,"Creacion, Administracion y Direccion de Empresas","Titulados pueden ser directivos, asesores o consultores empresariales o emprendedores."
94,Emprendimiento y Gestion de Empresas,"Perfiles relacionados con la gestión empresarial, como directores de proyectos y operaciones, y enfoques emprendedores individuales o colectivos."
95,Gastronomia,"Graduados en Dirección Hotelera pueden ser Directores Generales, Chefs de Hotel, Directores de Compras y Logística, Directores de Franquicias, Directores de Calidad Alimentaria, Directores Comerciales y Marketing, o Directores de Proyectos de Desarrollo Regional."
96,Gastronomia e Innovacion Culinaria,"Puestos directivos en agroalimentaria, restauración y hostelería; emprendimiento gastronómico; chef y asesor gastronómico."
97,Empresa y Tecnologia,"Capacitado para planificar, organizar y gestionar en organizaciones productivas modernas. Conocimientos fundamentales de desarrollo tecnológico y habilidades para adaptarse a cambios."
98,Bachelor of Management and Tecnology,"Capacitado para planificar, organizar, gestionar y controlar en organizaciones productivas. Forma conocimientos fundamentales de desarrollo tecnológico y gestión empresarial."
99,Gestion Empresarial basada en el Analisis de Datos (Business Analytics),"Desarrollar conocimiento en consultoría, asesoramiento empresarial e inteligencia de negocio para dirigir departamentos y gestionar empresas."
100,Inteligencia de Negocios Business Intelligence,"Profesionales en Data Mining, Business Intelligence, análisis de datos y consultoría."
101,Estadistica AplicadaArea de Estadistica Rama de conocimiento Ciencias Sociales y Juridicas,"Ingeniería (control, minería de datos, redes), Economía y Empresa (sectores productivos, mercado de trabajo), Salud (epidemiología, bioestadística), Política y Sociedad (demografía, relaciones internacionales) y Ciencias Ambientales."
102,Estadistica y Empresa,"Los graduados en Estadística y Empresa están capacitados para trabajar en gestión empresarial, finanzas, ciencias actuariales, banca, análisis bursátil, gestión de carteras de inversiones, asesoramiento y consultoría. Pueden desempeñar tareas en industrias, empresas, estudios de mercado y opinión, marketing e instituciones públicas."
103,Ciencia de los Datos Aplicada,"Los científicos de datos pueden trabajar en logística, banca, telecomunicaciones, salud, seguros, ejercicio profesional libre o I+D+i. También pueden acceder a programas de doctorado y ser investigador y docente."
104,Geografia y Ordenacion del Territorio,"Graduados en docencia, medioambiente, ordenación del territorio, cartografía, sistemas de información geográfica, resolución de conflictos geopolíticos, elaboración de informes socioeconómicos y demográficos, editoriales, bibliotecas, archivos, museos, centros de educación permanente, oficinas de turismo y medios de comunicación."
105,Gestion Urbana,"Experto en gestión urbana, ambiental y económica con experiencia en políticas urbanas, desarrollo sostenible y planificación de usos del suelo."
106,Bachelor of Urban Management,"Experto en gestión urbana, ambiental y económica con experiencia en políticas urbanas, desarrollo sostenible y planificación de usos del suelo."
107,Estudios Urbanos,"Experto en gestión urbana, ambiental y económica con experiencia en políticas urbanas, desarrollo sostenible y planificación de usos del suelo."
108,Gestion Aeronautica,"Gestores aeronáuticos en aeropuertos, compañías aéreas, navegación aérea, servicios auxiliares, consultoría y auditoría, investigación y docencia."
109,Informacion y Documentacion,"Actividad en bibliotecas generales, especializadas y centros de documentación; archivos públicos y privados; gestión de contenidos."
110,Lengua de Signos Espanola y Comunidad SordaArea de Lengua de Signos Rama de conocimiento Ciencias Sociales y Juridicas,"Presta servicios como intérprete de LSE, guía para personas sordociegas y asesor educativo en centros educativos."
111,Comunicacion Audiovisual,"Graduados en comunicación audiovisual pueden trabajar en publicidad, comunicación empresarial, producción multimedia y edición de publicaciones."
112,Comunicacion y Medios Digitales,"Trabajan como redactores, locutores, correctores, presentadores o asesores de imagen en empresas, medios de comunicación, agencias de prensa y sector editorial."
113,Publicidad,"Profesionales de la comunicación publicitaria en creatividad, estrategia y gestión. Trabajo en agencias, consultoras o organizaciones sin ánimo de lucro."
114,Publicidad y Relaciones Publicas,"Títulos relacionados con marketing, publicidad y comunicación que se ocupan de la imagen de organizaciones y campañas publicitarias."
115,Publicidad Creativa,"Capacitados para tomar decisiones, identificar propuestas creativas y asumir riesgos. Desarrollo de competencias profesionales avanzadas en comunicación persuasiva, auditorías y consultorías. Identificación de amenazas y oportunidades, asignación de recursos y planificación estratégica."
116,Publicidad y Creacion de Marca,"Publicidad - Dirección creativa, arte, estrategia, eventos, digitales, visual merchandising. Creación de marca - Identidad corporativa, naming, estrategia de marca. Diseño gráfico - Packaging, ilustración, diseño editorial. Audiovisual - Contenidos, guión, preproducción, postproducción."
117,Artes Digitales,Formación en creatividad tecnológica con énfasis en herramientas digitales y modelos de negocio.
118,Bachelor of Digital ArtsArea de Entorno Digital Rama de conocimiento Ciencias Sociales y Juridicas,Formación en creatividad digital con énfasis en herramientas tecnológicas y modelos de negocio.
119,Comunicacion Digital,"Fotógrafo, técnico digital, especialista en tratamiento de la imagen, artista multidisciplinar, director artístico y más."
120,Diseno Digital y Multimedia,"Creador de proyectos digitales, narrador virtual y desarrollador de juegos interactivos."
121,Diseno y Gestion de Proyectos Transmedia,"Profesional flexible que gestiona proyectos con diseñadores, marketing, programadores, profesores y editores. Desarrolla, financia y gestiona proyectos empresariales y de emprendimiento."
122,Gestion de la Informacion y Contenidos Digitales,"Grado en Gestión de la Información y Contenidos Digitales, prepara para trabajar en empresas digitales o organizaciones que necesitan inteligencia de negocio."
123,Gestion de la Ciberseguridad,"CISO, Diseñador/Gestor de Seguridad Corporativa, Auditor de Ciberseguridad, Consultor de Seguridad y Análisis de Riesgos, Técnico de Compliance de Ciberseguridad, Experto en Seguridad de la Información."
124,Creacion y Narracion de Videojuegos,"Diseñador de videojuegos, Desarrollador de videojuegos, Diseño en D, Produciones audiovisuales, Desarrollador de software de diseño, Analista/Programador de aplicaciones, Diseñador y desarrollador web, Administrador de red, Consultor tecnológico."
125,Trabajo SocialArea de Trabajo Social Rama de conocimiento Ciencias Sociales y Juridicas,"Trabajadores sociales planifican y evalúan políticas sociales para individuos, familias y comunidades. Actúan en servicios sociales, salud, educación, justicia, empresa, vivienda y tercer sector."
126,Empresas y Actividades Turisticas,"Grado en Turismo. Desarrollan su actividad profesional en agencias de viajes, compañías aéreas y empresas turísticas."
127,"Comunicacion Corporativa, Protocolo y Organizacion de Eventos","Título de grado en protocolo y organización de eventos. Profesionales capacitados: directores de comunicación, asesores en protocolo, técnicos en protocolo, ejecutivos de cuentas, relaciones públicas, coordinadores de empresas de catering, consultores de protocolo, planificadores de medios, directores de publicidad y gestores de intangibles."
128,Biologia 6. Estudios,"Los graduados en Biología trabajan en sanidad, medio ambiente, producción y calidad, investigación y desarrollo, formación y docencia, y servicios. Sus actividades incluyen control de plagas, análisis clínicos, evaluación de riesgos, planificación familiar, estudios demográficos, gestión ambiental, producción farmacéutica, biotecnología, conservación de flora y fauna, depuración de aguas, asesoramiento científico-técnico, análisis agroalimentario, control de calidad alimentaria, acuicultura, viveros, industria cosmética, farmacéutica y química."
129,Ciencias Experimentales,"Futuros docentes de ciencias pueden trabajar en laboratorios, museos, editoriales y medios de comunicación."
130,Nanociencia y Nanotecnologia,"Investigación y docencia en nanofabricación, biotecnología, energía y medio ambiente."
131,Ciencia y Tecnologia,"Investigadores alimentarios mejoran procesos de almacenamiento, transporte y consumo de alimentos; realizan estudios sobre composición y obtención de alimentos; trabajan en nutrición, dietética, sanidad pública e industrias alimentarias."
132,Ciencias Ambientales y Sostenibilidad,"Los graduados estudian la repercusión ambiental de cambios sociales, gestionan recursos naturales y controlan contaminantes. Pueden trabajar en depuradoras, empresas de residuos o reciclado, industrias químicas y energéticas, sector agrario y construcción."
133,Recursos Hidricos,"Los futuros graduados en Recursos Hídricos pueden trabajar en empresas y administraciones públicas, centros de investigación, educativos e incluso ejercer la profesión libre. Sus actividades incluyen gestión integral del agua, diseño de infraestructuras, operación y mantenimiento, consultoría y control de calidad."
134,Ciencias Agrarias y Bioeconomia,"Titulados en Ciencias Agrarias pueden trabajar en empresas de semillas y plantas, fertilizantes, alimentación animal, mejora genética animal, consultorías económicas, gestión cooperativas, centros científicos y administraciones públicas."
135,Fisica,"Titulados en física pueden trabajar en industrias petrolera, química y aeroespacial, o en empresas de tecnología e investigación."
136,Fisica,"Los titulados pueden trabajar en industrias petrolera, química y aeroespacial, o en empresas de tecnología e investigación."
137,Fisica e Instrumentacion Espacial,"Investigación en Física Espacial, Astrofísica e Instrumentación Espacial. Desarrollo de cargas útiles y gestión de equipos. Industria espacial y agencias como la ESA, CNES y NASA. Formación académica superior para docencia universitaria o investigación científica."
138,Fisica e Instrumentacion Espacial,"Investigación en Física Espacial, Astrofísica e instrumentación espacial. Desarrollo de cargas útiles y gestión de equipos. Industria del sector espacial y agencias como la ESA, CNES y NASA."
139,Fisica Aplicada,"Los graduados en Física Aplicada trabajan en industria, laboratorios y centros de investigación en campos como energía renovable, meteorología, materiales avanzados, óptica, biofísica e informática."
140,Fisica Aplicada,"Los graduados en Física Aplicada trabajan en industria, laboratorios y educación. Se dedican a la producción de energía, meteorología, diseño de materiales, óptica, biofísica e informática."
141,Ingenieria Fisica,"Carrera en alta tecnología, electrónica, biotecnología, telecomunicaciones, diseño de sistemas y servicios, asesoría, centros tecnológicos, investigación y docencia."
142,Ingenieria Fisica,"Carreras en alta tecnología, electrónica, nanotecnología, telecomunicaciones, biotecnología, diseño de sistemas y servicios, asesoría, centros tecnológicos, investigación y docencia."
143,Geologia Realizan: Estudios del interior y exterior de la tierra. Busqueda,"Estudio, identificación y clasificación de materiales y procesos geológicos. Investigación y control de procesos aplicados a industria, construcción, minería, agricultura y medio ambiente. Elaboración de cartografías geológicas y estudios geológicos para la producción y transformación de recursos geológicos."
144,Matematicas Aplicadas,"Matemáticos investigan y formulan sistemas matemáticos, estudian economía y estadística demográfica, y brindan asesoría técnica informática. Pueden trabajar en informática, telecomunicaciones, ingeniería aeroespacial, centros de cálculo y planificación, y la docencia."
145,Matematicas y Ciencia de Datos,"Egresados en Estudios de mercado con habilidades en encuestas, finanzas, banca y estadística oficial."
146,Bioquimica,"El Grado en Bioquímica forma profesionales para enseñanza secundaria y universitaria, investigación científica y sectores sanitario y productivo."
147,Quimica Tienen,"Graduados en Química se ocupan de métodos de producción química, diseño industrial, control de calidad, higiene y seguridad, análisis clínicos y protección del medio ambiente. Pueden trabajar en empresas químicas, farmacéuticas, sanitarias y cosméticas, así como en hospitales, Administración Pública y organismos internacionales."
148,Biologia Sanitaria,"La titulación en Biología Sanitaria se enfoca en investigación bio-médica, laboratorios clínicos, industria farmacéutica y más."
149,Enfermeria,"Enfermería en hospitales, ONG, centros penitenciarios, militar y escolar. También en residencias geriátricas, polideportivos y servicios de salud laboral."
150,Farmacia,"Farmacéuticos se ocupan de la regencia de farmacias, producción y control de calidad de productos farmacéuticos, investigación y análisis de agua potable. Pueden trabajar en oficinas de farmacia, hospitales, laboratorios, industria farmacéutica, óptica, ortopedia, dermofarmacia, radiofarmacia, empresas alimentarias e industriales."
151,Fisioterapia,"Los fisioterapeutas actuarán en tres niveles: prevención, curación y recuperación. Tendrán presencia en colegios, gimnasios, centros de salud, hospitales, residencias de la tercera edad, gabinetes privados, asociaciones y grupos de autoayuda, centros de día, centros de enseñanza, balnearios y empresas."
152,Logopedia,"Logopedas asisten a centros educativos y hospitalarios, evaluando y tratando alteraciones del lenguaje y comunicación. Trabajan en equipo con otros profesionales para coordinar el tratamiento."
153,Biomedicina,"Profesionales de Biomedicina pueden trabajar en docencia, investigación básica y aplicada, servicios científicos y regulación de ensayos clínicos."
154,Medicina,"Los médicos pueden prestar asesoramiento sobre métodos preventivos, participar en leyes y reglamentos de salud pública, dirigir centros médicos y asesorar a deportistas. Pueden trabajar en clínicas, hospitales, servicios de rehabilitación y ONGs."
