id;nombre;id_area;descripcion;salidas
22;Diseno de Videojuegos;3;El plan de estudios combina formación técnica y artística, preparando a los estudiantes para trabajar en diseño y desarrollo de videojuegos, así como en otras áreas de la informática y el diseño. Se cubren conceptos de programación, bases de datos, redes, comunicaciones, matemáticas y física fundamental. La parte artística incluye técnicas de dibujo y procesos creativos para proyectos audiovisuales, gráficos y D y D.;Diseñador de videojuegos, Desarrollador de software, Diseño gráfico, Producciones audiovisuales, Analista/Programador, Desarrollador web, Administrador de red y sistemas, Consultor tecnológico, Operador de red y comunicaciones, Auditor de calidad, Informático financiero y de gestión, Administrador de bases de datos, Robótica y control digital.
23;Diseno y Desarrollo de Videojuegos y Entornos Virtuales;3;La formación multidisciplinar técnica y artística de estos planes de estudios prepara a los estudiantes para trabajar en sectores como diseño y desarrollo de videojuegos, informática y diseño. El alumno aprenderá programación, bases de datos, redes y comunicaciones, matemáticas y física fundamental. También desarrollará habilidades creativas y técnicas de dibujo y diseño gráfico. La formación transversal en otros ámbitos les permitirá afrontar el diseño, estructuración y planificación de videojuegos.;Diseño, desarrollo y análisis de videojuegos, software y aplicaciones. Desarrollo web, redes y sistemas.
24;Animacion;3;Este Grado forma profesionales en animación con conocimientos artísticos, técnicos y creativos para diseñar, crear y desarrollar contenido digital para cine, televisión, video especializado o plataformas de distribución.;Creación de imagen, efectos visuales, diseño y animación, guiones, edición y postproducción, dirección de arte y gestión de equipo.
25;Diseno Digital;3;El Grado Universitario en Diseño Digital desarrolla la vocación artística y el amor por el arte y el diseño. Dota al alumno de conocimientos y fundamentos artísticos y de diseño para crear una comunicación gráfica o audiovisual innovadora.;Diseñador gráfico interactivo que crea simuladores, entornos virtuales y contenido digital multiplataforma. Trabaja en arte conceptual, desarrollo de performances digitales y animación cinematográfica.
26;Arte Digital y Tecnologias creativas;3;El Grado en Arte Digital capacita para ser un artista de videojuegos, diseñador o profesional de animación. Requiere conocimientos previos en artes y tecnología, observación, análisis e inquietudes intelectuales.;Egresados pueden ser artistas, diseñadores o programadores para videojuegos y animación, incluyendo roles como animador, iluminador, modelador y diseñador UX/UI.
27;Estudios Culturales;4;El Grado en Estudios Culturales forma profesionales que entienden la complejidad de las sociedades urbanas y cosmopolitas. Ofrece herramientas teóricas, analíticas y metodológicas para desarrollar la labor como analistas, creadores o gestores en empresas e instituciones culturales.;Graduados en Estudios Culturales trabajan en cultura, turismo, cooperación internacional, comunicación y nuevas tecnologías.
28;Estudios de Asia y Africa: Arabe, Chino y Japones;5;El estudiante profundizará en la comprensión de las sociedades y culturas de Asia y África, utilizando lenguas como el árabe, chino o japonés. Conocerá un área concreta mediante aprendizaje multidisciplinar y distinguirá corrientes filosóficas, artísticas y científicotecnológicas del mundo árabe e islámico o de Asia Oriental.;Preparación para profesiones en enseñanza, promoción lingüística y cultural relacionadas con el mundo árabe o Asia Oriental. Trabajos en comercio, economía, relaciones internacionales, medios de comunicación y turismo.
29;Estudios Semiticos e IslamicosArea de Estudios Semiticos e Islamicos Rama de conocimiento Artes y Humanidades;6;La titulación de estudios semíticos e islámicos ofrece una formación rigurosa en lenguas árabe, hebrea y aramea, así como literaturas y manifestaciones culturales islámicas y judías.;Profesor universitario, investigación, traducción e interpretación, planificación lingüística, creación y mediación literaria e intercultural, industrias editoriales, acceso a la función pública y medios de comunicación.
30;Filosofia;7;El Grado en Filosofía se enfoca en problemas universales de la vida humana, promoviendo la comprensión y orientación de la experiencia, el saber y el hacer. Forma ciudadanos libres y responsables que resisten a la propaganda y fomentan tolerancia entre culturas.;Graduado en filosofía puede ser docente, investigador, gestor cívico o asesor.
31;Ciencias de las Religiones;7;El objetivo es que los estudiantes comprendan la interrelación entre el pensamiento filosófico y el desarrollo de creencias religiosas. Conocen las principales etapas de la filosofía occidental, sus representantes y aplican conocimientos a la reflexión y debate filosófico. También deben comprender los fundamentos y crítica racionales de las creencias religiosas.;Docencia, investigación en Ciencias de las Religiones, gestión cultural, literaria y administrativa, así como proyectos multidisciplinares en educación, ONGs y empresas de viajes religiosos.
32;Arqueologia;8;La Arqueología es una ciencia interdisciplinar que estudia los pueblos y culturas antiguos mediante restos y tecnologías avanzadas. La titulación de Arqueología forma arqueólogos con conocimientos de historia y habilidades para interpretar la Prehistoria hasta la contemporaneidad.;Arqueología en España se divide en enseñanza/investigación, gestión y empresa. Salidas profesionales incluyen investigación arqueológica, patrimonio arqueológico, museología, enseñanza y empresas de evaluación ambiental.
33;Geografia e Historia;8;Este grado estudia la climatología, morfología terrestre, geología y sistemas planetarios, así como las relaciones sociales y económicas con el medio ambiente.;Geografía - Docencia, medioambiente, ordenación del territorio, cartografía, sistemas de información geográfica, informes socioeconómicos y demográficos, administración pública (medio ambiente, sanidad, obras públicas, comercio y turismo).
34;Historia;8;La Historia es la ciencia que estudia el tiempo y su evolución. Los historiadores utilizan técnicas como la cronología, paleografía y numismática para comprender los acontecimientos del pasado desde la Prehistoria hasta la actualidad.;Historia - Docencia, crítica literaria, gestión del patrimonio, asesoramiento cultural, investigación histórica, carrera diplomática.
35;Historia del Arte;8;El título de Graduado en Historia del Arte forma profesionales con conocimiento global en áreas relacionadas con la Historia del Arte y las Humanidades, capaces de liderar proyectos y adaptarse a entornos en evolución.;Prepara a los estudiantes para proteger y gestionar el patrimonio histórico-artístico-cultural en instituciones y empresas. Incluye conservación, exposición y mercado de arte, difusión del patrimonio artístico, investigación y enseñanza en historia del arte, y producción de contenidos.
36;Musicologia;8;Formar expertos en música que dominen sus métodos, técnicas, orígenes, evolución y implicaciones sociales y culturales.;Graduados en música pueden trabajar en bibliotecas, editoriales, radio, TV, productoras audiovisuales, centros de enseñanza y gestión cultural.
37;Humanidades;9;Estudios interdisciplinarios para aplicar conceptos humanistas en campos como la gestión cultural, sanitaria, de información y científica.;Educación, gestión cultural, editorial y medios de comunicación audiovisual.
38;Ciencia, Tecnologia y Humanidades;9;El Grado en Ciencia, Tecnología y Humanidades forma profesionales que integran perspectivas científicas, tecnológicas, políticas, sociales y culturales para abordar retos transversales. Ofrece formación transversal en ciencias y humanidades con un plan de acción tutelar para orientar a los estudiantes.;Experto en difusión del conocimiento, gestor de proyectos científicos y coordinador de equipos interdisciplinares. Técnico responsable de políticas de innovación y desarrollo en instituciones públicas o privadas.
39;Espanol: Lengua y Literatura;10;Los estudios de Lengua Española son uno de los más antiguos en España. La demanda del español como lengua de relación es cada vez mayor debido a su importancia demográfica, geográfica, cultural y económica. Es el segundo idioma de relación del planeta y las industrias relacionadas con la lengua española suponen más del 10% del PIB en España.;Profesores de Enseñanza Secundaria, profesores universitarios, investigación en Lengua y Literatura española, administración, diplomacia, turismo, edición y medios de comunicación.
40;Estudios Hispanicos;10;El título de Grado en Estudios Hispánicos forma profesionales con capacidad de expresión y comprensión del español, conocimiento de una lengua extranjera y visión global de la realidad lingüística, histórica, cultural y literaria de los países hispánicos. Los egresados poseerán capacidades descriptivas y analíticas para estudiar la lengua española, enseñarla, editar textos y realizar otras actividades relacionadas con el conocimiento de los países hispánicos.;Graduados en Estudios Hispánicos capacitados para actividades lingüísticas y culturales como mediación, planificación, asesoramiento, gestión y representación.
41;Estudios Hispanicos: Lengua Espanola y sus Literaturas;10;Este grado enseña a los estudiantes a utilizar la lengua española en contextos profesionales y académicos, analizar la literatura española e introducirse en la investigación lingüística y literaria.;Formación en docencia, asesoramiento lingüístico, industria editorial y traducción.
42;Lengua y Literatura Espanola;10;El Grado en Lengua y Literatura española se enfoca en el desarrollo humanístico de los estudiantes, proporcionando un perfil profesional definido. Se centra en la formación básica y el razonamiento crítico a través del análisis de datos e interpretación de métodos.;Docencia, investigación, industria, editorial, gestión lingüística, medios de comunicación, administraciones públicas y mediación lingüística.
43;Estudios Clasicos y de la Antiguedad;11;Este grado combina conocimiento de lenguas y literatura clásica con historia, arqueología y lenguas orientales para estudiar la Antigüedad grecorromana, Egipto y Oriente.;Graduados en Estudios Clásicos pueden trabajar en archivística, biblioteconomía, gestión cultural, docencia e investigación.
44;Filologia Clasica;11;Estos estudios ofrecen formación filológica general y conocimiento profundo de lenguas clásicas. El estudiante conoce civilizaciones griega y latina a través del estudio de sus lenguas y escritos, incluyendo asignaturas obligatorias y optativas para especializarse en lingüística y literatura.;Docencia, traducción, interpretación, asesoramiento literario, corrección, documentación, asistencia a medios y publicidad, investigación en temas específicos e interdisciplinarios.
45;Estudios Ingleses;12;Adquirirán conocimientos avanzados de la lengua inglesa, incluyendo lingüística teórica y aplicada, literaturas en inglés, historia y cultura de países de habla inglesa. También desarrollarán habilidades para negociar, redactar informes y documentos, manejar información compleja y presentarse públicamente en inglés.;Asesoramiento político, planificación lingüística, gestión documental, enseñanza no universitaria, universitaria y escritura creativa, gestión cultural y artística, recursos humanos, educativa, investigación lingüística y literaria, mediación lingüística, medios de comunicación, peritaje judicial en lingüística forense, registro de museos e instituciones culturales, relaciones públicas y tecnologías del lenguaje.
46;Estudios HispanoAlemanes;12;El Grado en Estudios HispanoAlemanes es un título interdisciplinar e internacional de 4 cursos que combina lengua, historia, política, filosofía, literatura y cultura alemana y española. Se imparte en la Universidad Complutense de Madrid y Ratisbona, y capacita para una formación de posgrado europea y el mercado laboral internacional.;Titulados pueden trabajar en traducción, interpretación, medios de comunicación, turismo, recursos humanos, administraciones públicas, asesoramiento político, gestión editorial, cultura y relaciones públicas.
47;Lenguas Modernas, Cultura y Comunicacion: espanol, frances o ingles;12;El Grado en Lenguas Modernas, Cultura y Comunicación ofrece formación en dos lenguas, abordando su conocimiento, literatura y cultura desde una perspectiva multilingüe. Se pueden elegir español, francés o inglés como primera lengua y otras opciones como segunda lengua.;Graduados en Lenguas Modernas, Cultura y Comunicación. Capacitados para la comunicación multilingüe y enseñanza. Actividades relacionadas con servicios lingüísticos y comunicación.
48;Lenguas Modernas y sus Literaturas;12;La filología moderna en la UCM cuenta con más de medio siglo de reputación nacional e internacional. La formación debe ser intercultural, incluyendo el conocimiento de varias lenguas y culturas debido a las transformaciones sociales y tecnológicas.;Titulados versátiles con capacidad de adaptación a distintas situaciones laborales como gestión cultural, turística, documentación y bibliotecas, medios de comunicación, industria editorial, investigación, mediación lingüística e intercultural, planificación lingüística, profesorado en universidades y escuelas de idiomas, selección de recursos humanos y traducción.
49;Paisajismo;13;La educación en paisajismo abarca áreas como historia del arte, botánica, diseño y planificación, gestión ambiental y tecnología.;"Paisajista: diseño, ejecución, gestión y mantenimiento de espacios abiertos; restauración de áreas alteradas; evaluaciones ambientales; estudios climáticos, geológicos y bióticos; asesoramiento técnico."
50;Lenguas Modernas y Traduccion;14;El Grado en Lenguas Modernas y Traducción forma profesionales polivalentes que pueden actuar como traductores y mediadores en diferentes lenguas modernas. Los estudiantes se forman en dos lenguas (inglés y alemán o inglés y francés) y aprenden técnicas básicas de traducción general y especializada.;Los futuros titulados pueden trabajar en servicios de traducción, empresas turísticas, enseñanza de lenguas, mediación lingüística, edición de textos, comunicación intercultural y gestión cultural.
51;Traduccion e Interpretacion;14;Formación para traductores e intérpretes que abarca problemas lingüísticos como ortografía, fonología, semiología y semántica.;Traductores e intérpretes trabajan en congresos, conferencias, empresas, medios de comunicación, enseñanza y organismos internacionales. Existen salidas profesionales como profesores de idiomas extranjeros o ejercicio libre de la traducción.
52;Ciencias de la Actividad Fisica y del Deporte;16;Formar profesionales del deporte capacitados en teoría y práctica de disciplinas deportivas. Cuidado físico, técnicas especializadas y atención a problemas causados por la práctica inadecuada.;Profesionales que realizan entrenamiento, gestión deportiva, animación física, asesoramiento pedagógico y trabajo en educación física, fisioterapia y rehabilitación.
53;Ciencias de la Actividad Fisica y del Deporte;47;Formar profesionales del deporte capacitados en teoría y práctica de cualquier disciplina deportiva, incluyendo técnicas especializadas, cuidados y condiciones físicas necesarias.;Profesionales que realizan entrenamiento, gestión deportiva, animación física, asesoramiento pedagógico y trabajo en educación física y especializada.
54;Gestion Deportiva;16;El Grado en Gestión Deportiva forma a profesionales en turismo deportivo, marketing deportivo, gestión de centros deportivos y asesoría de instalaciones deportivas.;Egresados pueden trabajar en dirección, planificación y administración de actividades deportivas, eventos y fitness en clubes, empresas de eventos, administraciones públicas, cadenas de fitness, turismo activo, consultoría y asesoramiento deportivo.
55;Gestion Deportiva;47;El Grado en Gestión Deportiva forma a profesionales en turismo deportivo, marketing deportivo, gestión de centros deportivos y asesoría de instalaciones deportivas.;Egresados se desempeñan en dirección, planificación y administración de actividades deportivas, fitness y ocio en clubes, empresas y administraciones públicas.
56;Ciencias del Trabajo, Relaciones Laborales y Recursos Humanos;17;La titulación forma especialistas en dirección y gestión de Recursos Humanos, con conocimientos jurídicos, económicos y sociológicos laborales. Se enfoca en la formación adecuada para el campo del trabajo humano, tanto organizativo como relacional.;Prepara a futuros graduados para ejercer en recursos humanos, representantes de empresas y trabajadores ante organismos de conciliación y Tribunales de lo Social.
57;Relaciones Laborales y Recursos Humanos;17;Los estudios de relaciones laborales tienen sus orígenes en la década de 1920 con las Escuelas Sociales en España. Estos estudios consolidados se enfocan en perfiles profesionales claros, como directores de recursos humanos y mediadores laborales.;Graduados en asesoramiento jurídico-laboral, dirección de recursos humanos, gestión del mercado de trabajo, salud laboral y políticas sociolaborales. Profesionales liberales, directores de RRHH, mediadores, expertos en salud laboral y consultores sociolaborales.
58;Relaciones Labores y Empleo;17;La titulación se centra en la formación integral sobre empleo y relaciones laborales. Analiza estas cuestiones vitales para las sociedades europeas desde perspectivas como Economía, empresa, Sociología, Ciencia Política, Psicología y Derecho.;Serán titulados con formación multidisciplinar, ofreciendo oportunidades en recursos humanos, diseño de políticas de formación, orientación profesional, consultoría laboral y dirección de relaciones laborales a nivel nacional e internacional.
59;Ciencias Politicas;18;El Grado en Ciencias Políticas ofrece una formación pluridisciplinar centrada en el análisis de los procesos políticos contemporáneos. Los estudiantes adquirirán conocimientos teóricos y prácticos sobre comunicación política, instituciones, administración pública, partidos políticos y sistemas políticos.;Graduados en administración pública pueden trabajar en empleo público o privado. Pueden desempeñar roles como inspectores, técnicos, administradores y agentes de desarrollo en áreas como calidad medio ambiente, comercio exterior, consultoría y marketing.
60;Ciencia Politica y Gestion Publica;18;Títulos de grado generalistas que combinan ciencia política, administración, economía, derecho, historia y sociología.;Graduados en Ciencia Política y Administración Pública pueden trabajar en administraciones públicas, organismos internacionales, medios de comunicación, etc. como técnicos superiores, analistas de mercados y gestores administrativos.
61;Ciencia Politica y de la Administracion;18;Este grado abarca objetivos generales, teóricos y prácticos en Ciencias Sociales, incluyendo investigación y aplicación de conocimientos.;Graduados en administra ciones públicas, organismos internacionales, medios de comunicación y empresas de consultoría. Analizan procesos, mercados y estructuras políticas y administrativas desde perspectivas jurídica, social, histórica y económica.
62;Gestion y Administracion Publica;18;El título de Graduado en Gestión y Administración Pública proporciona formación en bases teóricas y técnicas de gestión administrativa y financiera, con especial incidencia en las Administraciones Públicas.;Técnicos en relaciones institucionales y políticas que trabajan en despachos legales, empresas y organismos públicos. Realizan estudios y asesorías para empresas e investigación sobre opinión pública.
63;Historia y Politica;18;El Grado en Historia y Política ofrece una formación interdisciplinar que combina conocimientos históricos con categorías de la Ciencia Política. Se recomienda haber cursado Humanidades o Ciencias Sociales en el bachillerato. Se valoran actitudes como iniciativa, trabajo en equipo y pensamiento crítico.;Grado bilingüe para futuros profesionales en Politología, Ciencias Sociales y Historia con vocación analítica y comparatista. Abre amplias salidas profesionales como la función pública.
64;Estudios Internacionales;18;Se busca formar especialistas internacionales con base científica sólida y carácter interdisciplinar para desempeñar labores de dirección, gestión y análisis en relaciones internacionales.;Graduados en Relaciones Internacionales pueden trabajar en Organizaciones Intergubernamentales, Servicio Exterior del Estado, Administración de la UE, docencia, información y comunicación internacionales.
65;Bachelor of European Studies (BAES);18;Se busca formar especialistas internacionales con base científica sólida y carácter interdisciplinar para desempeñar labores de dirección, gestión y análisis en relaciones internacionales.;Graduados pueden trabajar en organizaciones intergubernamentales, servicio exterior del estado, administración europea, docencia, análisis de información e inteligencia, periodismo internacional y comunicación.
66;Sociologia;18;El grado en Sociología estudia la sociedad humana, sus colectividades, estructuras sociales y cambios. Proporciona conocimientos sobre grupos sociales, comportamiento y factores que lo provocan.;"Técnicos en sociología política, familiar o electoral; demógrafos. Trabajan en marketing, recursos humanos y selección de personal. También en cooperación y desarrollo, Administración Pública, docencia e investigación."
67;Comercio;19;El Grado en Comercio forma profesionales capacitados para desempeñar labores en departamentos de organizaciones. Se enfoca en habilidades como gestión integral, comunicación internacional, dirección de equipos y ventas.;Graduados en Comercio pueden desempeñar puestos como responsable de gestión, comercial, mercadotecnia, ventas, producto, distribución y técnico comercial del Estado.
68;Marketing y Comunicacion;19;El Grado en Marketing forma profesionales con conocimientos económicos y empresariales para desarrollar funciones en dirección y gestión de marketing en instituciones públicas o privadas.;El Grado en Marketing ofrece oportunidades en marketing, publicidad y ventas en empresas públicas y privadas, así como en investigación de mercados, consultoría y distribución comercial. También se pueden desarrollar carreras docentes.
69;CC. Juridicas de las Administraciones Publicas;20;El grado estudia el régimen jurídico y la actuación de las Administraciones Públicas, preparando a los estudiantes para acceder y progresar en su seno como funcionarios o personal laboral.;Graduados en administración pública pueden trabajar en diversas áreas como la Unión Europea, Administraciones estatal, autonómica y local.
70;Criminologia;20;La Criminología estudia la delincuencia y su control. Busca entender los mecanismos para prevenir y tratar la delincuencia, así como desarrollar modelos de prevención y técnicas de investigación y tratamiento.;Criminólogo - Desarrolla labor en policial, instituciones penitenciarias y judicial. Asesora a jueces y trabaja en seguridad privada.
71;Seguridad;20;La criminología estudia la delincuencia y su control. Busca entender por qué, cómo, cuándo y bajo qué circunstancias se cometen actos criminales, así como desarrollar modelos de prevención y técnicas de investigación y tratamiento.;Egresados pueden trabajar en investigación criminológica, seguridad pública, privada e instituciones penitenciarias, o como peritos, directivos, asesores o terapeutas.
72;Derecho;20;El Grado en Derecho proporciona una formación científica en derecho básico y aplicado. Capacita para defender intereses y derechos de personas físicas y jurídicas, elaborar dictámenes legales y asesoramiento jurídico. Se enfoca en la sistematización de información y documentación con sistemas avanzados de tratamiento de datos.;Los graduados pueden trabajar como abogados, directores de recursos humanos, inspectores, etc. Desarrollan su actividad en despachos de abogados, departamentos de administración y asesorías. Pueden ejercer la profesión libremente o dedicarse a la docencia e investigación.
73;Derecho Sorbona (Titulacion Internacional);20;El curso aborda los fundamentos históricos, filosóficos y constitucionales de España y Francia, incluyendo la organización constitucional, derechos y libertades, instituciones públicas y privadas. Se cubren temas como el Derecho Administrativo, Civil, Comparado Público y Privado, Mercantil, Penal, Procesal y del Trabajo.;"Grado en Derecho y Maîtrise en Droit; Abogado, procurador, agente de propiedad industrial, auditor de cuentas; diplomático, funcionario internacional, notario, juez, fiscal; letrado, inspector de trabajo, técnico superior de la administración pública."
74;Filosofia, Politica, Derecho y Economia;21;Formar profesionales con sólida formación en ciencias políticas y economía, con base en análisis crítico y moral.;Formación versátil para puestos en organizaciones privadas y públicas. Competencias analíticas y internacionalización para ocupar puestos destacados en multinacionales. Ámbitos de inserción laboral: política, periodismo, industria, educación, dirección de empresas, consultoría, relaciones públicas, servicios diplomáticos, gobiernos autonómicos y locales, organizaciones internacionales.
75;Economia;21;Los estudios de Economía se centran en proporcionar una formación científica en economía básica y aplicada, analizando relaciones entre producción, gasto e inversión para interpretar situaciones y resolver problemas prácticos.;Graduados en empresas de seguros, bancos y contabilidad. Realizan investigaciones económicas y análisis de procesos.
76;Economia y Finanzas;21;El Grado en Economía y Finanzas forma profesionales con sólida formación en economía, métodos cuantitativos y finanzas para labores de gestión, asesoramiento y evaluación en ámbitos económicos financieros.;Graduados pueden trabajar en mercados financieros, departamentos financieros de empresas, consultoría económica y más.
