nombre_grado,centros
Interpretación de Música Moderna,"Universidad Alfonso X El Sabio (Privada) Facultad de Música y Artes Escénicas Avda. Comandante Franco, 10 bis 28016 Madrid Tel.: 91 810 92 00 www.uax.es info@uax.es"
Diseño de Interiores / Bachelor in Interior Design,"Universidad Antonio de Nebrija (Privada) Escuela Politécnica Superior Campus Dehesa de la Villa C/ Pirineos, 55 28040 Madrid Tels.: 91 452 11 00 / 900 321 322 www.nebrija.com informa@nebrija.es Universidad San PabloCEU (Privada) Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa C/ Julián Romea, 18 28003 Madrid Tel.: 91 514 04 04 www.uspceu.com info.usp@ceu.es Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es"
Diseño,"Universidad Complutense de Madrid (Pública) Facultad de Bellas Artes Campus de Moncloa C/ Pintor el Greco, 2 28040 Madrid Tels.: 91 394 35 60 / 36 52 www.ucm.es safba@ucm.es Universidad Europea de Madrid (Privada) Escuela de Arquitectura, Ingeniería y Diseño C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 / 91 414 66 11 www.universidadeuropea.es/madrid ads@uem.esUniversidad Francisco de Vitoria (Privada) Facultad de Ciencias de la Comunicación Ctra. de Pozuelo a Majadahonda, Km. 1,800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es Centro de Estudios Superiores Instituto de Empresa. Centro privado adscrito a IE University (Privada) (en inglés) Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu.es university@ie.edu"
Gestión y Comunicación de la Moda,"de Grado en Diseño de Moda Centro de Estudios Superiores Instituto de Empresa. Centro privado adscrito a IE University (Privada) (en inglés) Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu.es university@ie.edu Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es Centro Superior de Diseño de Moda de Madrid (Adscrito de titularidad privada a la Universidad Politécnica de Madrid) Campus Sur UPM Ctra. de Valencia, Km. 7 Bloque 1 planta baja 28031 Madrid Tel.: 91 331 01 26 www.csdmm.upm.es informacion.csdmm@upm.esUniversidad Antonio de Nebrija (Privada) Facultad de Comunicación y Artes Campus de MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tel.: 91 452 11 03 / 900 321 322 www.nebrija.com informa@nebrija.com Direcciones de los centros donde se imparte la de Grado en Diseño y Gestión de Moda Universidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidadess Campus de Aranjuez Edificio Pavía C/ San Pascual, s/n 28300 Aranjuez (Madrid) Tels.: 91 488 44 21 / 22 www.urjc.es aranjuez.secretariadealumnos@urjc.es 8 Direcciones de los centros donde se imparte la de Grado en Gestión y Comunicación de la Moda Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es Direcciones de los centros donde se imparte la de Grado en Diseño y Creación de Moda Universidad Europea de Madrid (Privada) Escuela de Arquitectura, Ingeniería y Diseño C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 / 91 414 66 11 www.universidadeuropea.es/madrid ads@uem.es"
Diseño Integral y Gestión de la Imagen,"Universidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía C/ San Pascual, s/n 28300 Aranjuez (Madrid) Tels.: 91 488 44 21 / 22 www.urjc.es aranjuez.secretariadealumnos@urjc.es Facultad de Artes y Humanidades Campus Madrid C/ Quintana, 21 28008 Madrid Tel.: 91 488 83 46 www.urjc.es ferraz.secretaria@urjc.es"
Diseño Multimedia y Gráfico / Diseño Gráfico y Multimedia,"de Grado en Diseño Multimedia y Gráfico Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es Direcciones de los centros donde se imparte la de Grado en Diseño Gráfico y Multimedia Universidad Europea de Madrid (Privada) (online) Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón C/ Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@uem.es"
Diseño Audiovisual e Ilustración,"Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es"
Diseño de Videojuegos / Diseño y Desarrollo de Videojuegos y Entornos Virtuales,"de Grado en Diseño de Videojuegos Universidad Europea de Madrid (Privada) Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón C/Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@uem.es Direcciones de los centros donde se imparte la de Grado en Diseño y Desarrollo de Videojuegos y Entornos Virtuales Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es"
Animación,"Centro Universitario de Tecnología y Arte Digital (UTad) (Adscrito de titularidad privada a la Universidad Camilo José Cela) C/ Playa de Liencres, 2 bis Parque Europa Empresarial Edificio Madrid 28290 Las Rozas (Madrid) Tel.: 900 37 33 79 www.utad.com info@utad.com Universidad Europea de Madrid (Privada) Escuela de Arquitectura, Ingeniería y Diseño Campus Universitario de Villaviciosa de Odón C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@uem.esUniversidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es"
Animación,"de Grado en Diseño en Productos interactivos Centro Universitario de Tecnología y Arte Digital (UTad) (Adscrito de titularidad privada a la Universidad Camilo José Cela) C/ Playa de Liencres, 2 bis Parque Europa Empresarial Edificio Madrid 28290 Las Rozas (Madrid) Tel.: 900 37 33 79 www.utad.com info@utad.com Direcciones de los centros donde se imparte la de Grado en Diseño de Producto Universidad de Diseño, Innovación y Tecnología (UDIT) (Privada) Avda. Alfonso XIII, 97 28016 Madrid Tel.: 91 555 25 28 www.udit.es secretaria.alumnos@udit.es Universidad Europea de Madrid (Privada) Escuela de Arquitectura, Ingeniería y Diseño C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 / 91 414 66 11 www.universidadeuropea.es/madrid ads@uem.es"
Diseño Digital,"Centro Universitario de Tecnología y Arte Digital (UTad) (Adscrito de titularidad privada a la Universidad Camilo José Cela) C/ Playa de Liencres, 2 bis Parque Europa Empresarial Edificio Madrid 28290 Las Rozas (Madrid) Tel.: 900 37 33 79 www.utad.com info@utad.com"
Arte Digital y Tecnologías creativas,"de Grado en Arte Digital Universidad San PabloCEU (Privada) Escuela Politécnica Superior Campus de Montepríncipe Ctra. de Boadilla del Monte, Km. 5,300 28668 Madrid Tels.: 91 372 40 35 / 36 / 37 www.uspceu.com info.usp@ceu.es Direcciones de los centros donde se imparte la de Grado en Arte Digital y Tecnologías Creativas Universidad Europea de Madrid (Privada) Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón C/ Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@universidadeuropea.es"
Estudios Culturales,"Universidad Carlos III de Madrid (Pública) (bilingüe) Facultad de Humanidades, Comunicación y Documentación Campus de Getafe C/ Madrid, 133 28903 Getafe (Madrid) Tel.: 91 624 60 00 www.uc3m.es futuroestudiantes@uc3m.es"
"Estudios de Asia y África: Árabe, Chino y Japonés","Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus de Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es"
Estudios Semíticos e IslámicosÁrea de Estudios Semíticos e Islámicos Rama de conocimiento Artes y Humanidades,"Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es"
Filosofía,"Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus Cantoblanco C/ Francisco Tomás y Valiente,1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es Universidad Complutense de Madrid (Pública) Facultad de Filosofía Campus de Moncloa Plaza de Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 59 82 / 55 82 www.ucm.es salfilo@ucm.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Filosofía Paseo de la Senda del Rey, 7 Edificio Humanidades 28040 Madrid. Apartado de Correos 60.146 Tels.: 91 398 69 03 / 05 www.uned.es negociado.alumnos.filosofia@adm.uned.esUniversidad Pontificia Comillas ICAIICADE (Privada) Facultad de Ciencias Humanas y Sociales C/ Universidad Comillas, 35 28049 Madrid Tel.: 91 734 39 50 www.comillas.edu grado@comillas.edu Universidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidades Campus de Fuenlabrada Camino del Molino, s/n 28942 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es"
Ciencias de las Religiones,"Universidad Complutense de Madrid (Pública) Facultad de Filosofía Campus de Moncloa Plaza de Menéndez Pelayo, s/n 28040 Madrid Tels.: 91 394 59 82 / 55 82 www.ucm.es salfilo@ucm.es"
Arqueología,"Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus Cantoblanco C/ Francisco Tomás y Valiente,1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es Universidad Complutense de Madrid (Pública) Facultad de Geografía e Historia Campus de Moncloa C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 59 90 / 91 / 94 www.ucm.es secretariagh@ucm.es"
Geografía e Historia,"Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Geografía e Historia Paseo de la Senda del Rey, 7 28040 Madrid Tels.: 91 398 67 04 / 81 08 / 92 29 / 67 07 www.uned.es negociado.geohist@adm.uned.es"
Historia,"Universidad de Alcalá (Pública) Facultad de Filosofía y Letras Campus Histórico C/ Colegios, 2 Colegio de Málaga 28801 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 43 16 / 43 62 www.uah.es/facultadfilosofiayletras secalum.filosofia@uah.es decanato.fyl@uah.es Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus de Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es Universidad Complutense de Madrid (Pública) Facultad de Geografía e Historia Campus de Moncloa C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 59 90 / 91 / 94 www.ucm.es secretariagh@ucm.esUniversidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidades Campus de Fuenlabrada Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es Universidad San PabloCEU (Privada) Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa C/ Julián Romea, 18 28003 Madrid Tel.: 91 514 04 04 www.uspceu.com info.usp@ceu.es Universidad a Distancia de Madrid UDIMA (Privada) Facultad de Ciencias Sociales y Humanidades Crta. de La Coruña, Km. 38,500 Vía de Servicio, 15 28400 Collado Villalba (Madrid) Tels.: 91 189 69 99 / 91 856 16 99 / 902 02 00 03 www.udima.es informa@udima.es"
Historia del Arte,"Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus de Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es Universidad Complutense de Madrid (Pública) Facultad de Geografía e Historia Campus de Moncloa C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 59 90 / 91 / 94 www.ucm.es secretariagh@ucm.esUniversidad San PabloCEU (Privada) Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa C/ Julián Romea, 18 28003 Madrid Tel.: 91 514 04 04 www.uspceu.com info.usp@ceu.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Geografía e Historia Paseo de la Senda del Rey, 7 28040 Madrid Tels.: 91 398 67 04 / 81 08 / 92 29 / 67 07 www.uned.es negociado.geohist@adm.uned.es"
Musicología,"de Grado en Historia, Ciencias de la Música y Tecnología Musical Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus de Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es Direcciones de los centros donde se imparte la de Grado en Musicología Universidad Alfonso X El Sabio (Privada) (online) Facultad de Música y Artes Escénicas Avda. Comandante Franco, 10 bis 28016 Madrid Tel.: 91 810 92 00 www.uax.es info@uax.esUniversidad Complutense de Madrid (Pública) Facultad de Geografía e Historia C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid Tels.: 91 394 59 90 / 91 / 94 www.ucm.es secretariagh@ucm.es Universidad Europea de Madrid (Privada) Facultad de CC. Sociales y de la Comuni cación Campus de Villaviciosa de Odón C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@uem.es"
Humanidades,"Universidad de Alcalá (Pública) Facultad de Filosofía y Letras Campus Histórico C/ Colegios, 2 Colegio de Málaga 28801 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 43 16 / 43 62 / 50 00 www.uah.es/facultad.filosofíayletras secalum.filosofia@uah.es decanato.fyl@uah.es Universidad Carlos III de Madrid (Pública) Facultad de Humanidades, Comunicación y Documentación Campus de Getafe C/ Madrid, 133 28903 Getafe (Madrid) Tel.: 91 624 06 00 www.uc3m.es futuroestudiantes@uc3m.esUniversidad Francisco de Vitoria (Privada) Facultad de Ciencias de la Comunicación Ctra. de Pozuelo a Majadahonda, Km. 1800 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 351 03 03 / 91 709 14 00 www.ufv.es info@ufv.es Universidad San PabloCEU (Privada) Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa C/ Julián Romea, 18 28003 Madrid Tel.: 91 514 04 04 www.uspceu.com info.usp@ceu.es Centro de Estudios Superiores Instituto de Empresa. Centro privado adscrito a IE University (Privada) (en inglés) Paseo de la Castellana, 259 E 28046 Madrid Tel.: 91 568 96 20 www.ie.edu.es university@ie.edu"
"Ciencia, Tecnología y Humanidades","Universidad Autónoma de Madrid (Pública) Facultad de Ciencias Edificio de Biología Campus Cantoblanco C/ Darwin, 2 28049 Madrid Tels.: 91 497 43 31 / 83 46 www.uam.es informacion.ciencias@uam.es Universidad Carlos III de Madrid (Pública) Facultad de Humanidades, Comunicación y Documentación Campus de Getafe C/ Madrid, 133 28903 Getafe (Madrid) Tel.: 91 624 06 00 www.uc3m.es futuroestudiantes@uc3m.es"
Español: Lengua y Literatura,"Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es"
Estudios Hispánicos,"Universidad de Alcalá (Pública) Facultad de Filosofía y Letras Campus Histórico C/ Trinidad, 3 y 5 Colegio San José de Caracciolos 28801 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 43 16 / 43 62 / / 50 00 www.uah.es/facultadfilosofiayletras secalum.filosofia@uah.es decanato.fyl@uah.es"
Estudios Hispánicos: Lengua Española y sus Literaturas,"Universidad de Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.esGrado en Estudios Hispánicos: Lengua Española y sus Literaturas"
Lengua y Literatura Española,"Universidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidades Campus Fuenlabrada Camino del Molino, s/n 28943 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es Universidad Nacional de Educación a Distancia de Madrid UNED (Pública) Facultad de Filología Paseo de la Senda del Rey, 7 28040 Madrid Tels.: 91 398 67 03 / 13 www.uned.es negociado.alumnos.filologia@adm.uned.es"
Lengua y Literatura Española,"Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es"
Estudios Clásicos y de la Antigüedad,"Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus Cantoblanco C/ Francisco Tomás y Valiente,1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es"
Filología Clásica,"Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es"
Estudios Ingleses,"Universidad de Alcalá (Pública) Facultad de Filosofía y Letras Campus Histórico C/ Trinidad, 3 y 5 Colegio San José de Caracciolos 28801 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 43 16 / 43 62 / 50 00 www.uah.es/facultadfilosofiayletras csecalum.filosofia@uah.es decanato.fyl@uah.es Universidad de Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.esUniversidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es Universidad Nacional de Educación a Distancia UNED (Pública) Facultad de Filología Paseo de la Senda del Rey, 7 28040 Madrid Tels.: 91 398 68 06 / 82 83 / 92 40 / 84 96 www.uned.es negociado.alumnos.filologia@adm.uned.es"
Estudios HispanoAlemanes,"Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es"
"Lenguas Modernas, Cultura y Comunicación: español, francés o inglés","Universidad de Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es"
"Lenguas Modernas, Cultura y Comunicación: español, francés o inglés","de Grado en Lingüística y Lenguas Aplicadas Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es Direcciones de los centros donde se imparte la de Grado en Lenguas Modernas Aplicadas/Applied Modern Languages Universidad Antonio de Nebrija (Privada) (en inglés y también virtual) Campus de Lenguas y Educación Campus MadridPrincesa C/ Santa Cruz de Marcenado, 27 28015 Madrid Tels.: 91 452 11 03 / 900 321 322 www.nebrija.com informa@nebrija.com"
Lenguas Modernas y sus Literaturas,"Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.es"
Paisajismo,"Universidad Rey Juan Carlos (Pública) Escuela de Ingeniería de Fuenlabrada Campus de Fuenlabrada Camino del Molino, 5 28942 Fuenlabrada (Madrid) Tel.: 91 488 84 01 www.urjc.es fuenlabrada.secretariadealumnos@urjc.es"
Lenguas Modernas y Traducción,"Universidad de Alcalá (Pública) Facultad de Filosofía y Letras Campus Guadalajara C/ Madrid, 1 19001 Guadalajara Tel.: 91 885 50 00 www.uah.es/facultadfilosofiayletras decanato.fyl@uah.es Facultad de Filosofía y Letras Campus Histórico C/ Trinidad, 3 y 5 Colegio San José de Caracciolos 28801 Alcalá de Henares (Madrid) Tels.: 91 885 43 13 / 43 16 / 43 62 / 50 00 www.uah.es/facultadfilosofiayletras decanato.fyl@uah.es"
Traducción e Interpretación,"Universidad Autónoma de Madrid (Pública) (francés e inglés) Facultad de Filosofía y Letras Campus Cantoblanco C/ Francisco Tomás y Valiente, 1 28049 Madrid Tel.: 91 497 43 54 www.uam.es informacion.filosofia@uam.es Universidad Complutense de Madrid (Pública) Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n 28040 Madrid Tel.: 91 394 53 43 www.ucm.es infocom@ucm.esUniversidad Europea de Madrid (Privada) Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid) Tel.: 91 740 72 72 www.universidadeuropea.es/madrid ads@uem.es Universidad Pontificia Comillas (Privada) Facultad de Ciencias Humanas y Sociales C/ Universidad de Comillas, 3 28049 Madrid Tels.: 91 734 39 21 / 12 / 16 www.comillas.edu grado@comillas.edu Universidad Rey Juan Carlos (Pública) Facultad de Artes y Humanidades Campus Aranjuez Edificio Maestro Rodrigo C/ Infantas, 55 28300 Aranjuez (Madrid) Tels.: 91 488 44 21 / 22 www.urjc.es aranjuez.secrealumnos@urjc.es Facultad de Artes y Humanidades Campus Móstoles C/ Tulipán, s/n 28933 Móstoles (Madrid) Tel.: 91 488 70 26 www.urjc.es"
Antropología Social y Cultural,"Universidad Autónoma de Madrid (Pública) Facultad de Filosofía y Letras Campus de Cantoblanco C/ Francisco Tomás y Valiente,1 28049 Madrid Tel.: 91 497 43 54 www.uam.es www.uam.es/oae/contacto Universidad Complutense de Madrid (Pública) Facultad de Ciencias Políticas y Sociología Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels.: 91 394 29 52 / 54 / 55 / 60 www.ucm.es inforoir@ucm.es secre.alumnos@cps.upm.es"
