nombre_grado,universidad,tipo,facultad,direccion,telefonos,webs,emails,campus
Diseño de Interiores / Bachelor in Interior Design,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"Avda. Alfonso XIII, 97 28016 Madrid",91 514 04 04 / 91 555 25 28,www.udit.es | www.uspceu.com,info.usp@ceu.es | secretaria.alumnos@udit.es,Madrid
Diseño,Universidad Complutense de Madrid,Pública,Facultad de Bellas Artes Campus de Moncloa,"C/ Pintor el Greco, 2 28040 Madrid",91 394 35 60,www.ucm.es,safba@ucm.es,Madrid
Diseño,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es,Villaviciosa de Odón
Gestión y Comunicación de la Moda,Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus de MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Gestión y Comunicación de la Moda,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidadess Campus de Aranjuez Edificio Pavía,"C/ San Pascual, s/n 28300 Aranjuez (Madrid)",91 488 44 21 / 91 555 25 28,www.udit.es | www.urjc.es,aranjuez.secretariadealumnos@urjc.es | secretaria.alumnos@udit.es,Aranjuez
Gestión y Comunicación de la Moda,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidadess Campus de Aranjuez Edificio Pavía,"Avda. Alfonso XIII, 97 28016 Madrid",91 488 44 21 / 91 555 25 28,www.udit.es | www.urjc.es,aranjuez.secretariadealumnos@urjc.es | secretaria.alumnos@udit.es,Madrid
Gestión y Comunicación de la Moda,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es,Villaviciosa de Odón
Diseño Integral y Gestión de la Imagen,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía,"C/ San Pascual, s/n 28300 Aranjuez (Madrid)",91 488 44 21 / 91 488 83 46,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | ferraz.secretaria@urjc.es,Aranjuez
Diseño Integral y Gestión de la Imagen,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía,"C/ Quintana, 21 28008 Madrid",91 488 44 21 / 91 488 83 46,www.urjc.es,aranjuez.secretariadealumnos@urjc.es | ferraz.secretaria@urjc.es,Madrid
Diseño Multimedia y Gráfico / Diseño Gráfico y Multimedia,,,,"Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28,www.udit.es,secretaria.alumnos@udit.es,Madrid
Diseño Multimedia y Gráfico / Diseño Gráfico y Multimedia,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","C/ Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es,Villaviciosa de Odón
Diseño Audiovisual e Ilustración,,,,"Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28,www.udit.es,secretaria.alumnos@udit.es,Madrid
Diseño de Videojuegos / Diseño y Desarrollo de Videojuegos y Entornos Virtuales,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","C/Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.es | secretaria.alumnos@udit.es,Villaviciosa de Odón
Diseño de Videojuegos / Diseño y Desarrollo de Videojuegos y Entornos Virtuales,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.es | secretaria.alumnos@udit.es,Madrid
Animación,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus Universitario de Villaviciosa de Odón","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.esUniversidad | secretaria.alumnos@udit.es,Villaviciosa de Odón
Animación,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus Universitario de Villaviciosa de Odón","Avda. Alfonso XIII, 97 28016 Madrid",91 555 25 28 / 91 740 72 72,www.udit.es | www.universidadeuropea.es/madrid,ads@uem.esUniversidad | secretaria.alumnos@udit.es,Madrid
Animación,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño","C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es,Villaviciosa de Odón
Arte Digital y Tecnologías creativas,Universidad San PabloCEU,Privada,Escuela Politécnica Superior Campus de Montepríncipe Ctra,,91 372 40 35,www.uspceu.com,info.usp@ceu.es,
Arte Digital y Tecnologías creativas,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","C/ Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,Villaviciosa de Odón
Estudios Culturales,Universidad Carlos III de Madrid,Pública,"Facultad de Humanidades, Comunicación y Documentación Campus de Getafe","C/ Madrid, 133 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futuroestudiantes@uc3m.es,Getafe
"Estudios de Asia y África: Árabe, Chino y Japonés",Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Estudios Semíticos e IslámicosÁrea de Estudios Semíticos e Islámicos Rama de conocimiento Artes y Humanidades,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
Filosofía,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus Cantoblanco,"C/ Francisco Tomás y Valiente,1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Filosofía,Universidad Complutense de Madrid,Pública,"Facultad de Filosofía Campus de Moncloa Plaza de Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tels",,91 394 59 82,www.ucm.es,salfilo@ucm.es,
Filosofía,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Filosofía,"Paseo de la Senda del Rey, 7 Edificio Humanidades 28040 Madrid. Apartado de Correos 60.146",91 398 69 03,www.uned.es,negociado.alumnos.filosofia@adm.uned.es,Madrid. Apartado de Correos 60.146
Filosofía,Universidad Pontificia Comillas ICAIICADE,Privada,Facultad de Ciencias Humanas y Sociales,"C/ Universidad Comillas, 35 28049 Madrid",91 734 39 50,www.comillas.edu,grado@comillas.edu,Madrid
Filosofía,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Fuenlabrada,"Camino del Molino, s/n 28942 Fuenlabrada (Madrid)",91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es,Fuenlabrada
Ciencias de las Religiones,Universidad Complutense de Madrid,Pública,"Facultad de Filosofía Campus de Moncloa Plaza de Menéndez Pelayo, s/n 28040 Madrid Tels",,91 394 59 82,www.ucm.es,salfilo@ucm.es,
Arqueología,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus Cantoblanco,"C/ Francisco Tomás y Valiente,1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Arqueología,Universidad Complutense de Madrid,Pública,Facultad de Geografía e Historia Campus de Moncloa,"C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid",91 394 59 90,www.ucm.es,secretariagh@ucm.es,Madrid
Geografía e Historia,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Geografía e Historia,"Paseo de la Senda del Rey, 7 28040 Madrid",91 398 67 04,www.uned.es,negociado.geohist@adm.uned.es,Madrid
Historia,Universidad de Alcalá,Pública,Facultad de Filosofía y Letras Campus Histórico,"C/ Colegios, 2 Colegio de Málaga 28801 Alcalá de Henares (Madrid)",91 885 43 13,www.uah.es/facultadfilosofiayletras,decanato.fyl@uah.es | secalum.filosofia@uah.es,Alcalá de Henares
Historia,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Historia,Universidad Complutense de Madrid,Pública,Facultad de Geografía e Historia Campus de Moncloa,"C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid",91 394 59 90,www.ucm.es,secretariagh@ucm.es,Madrid
Historia,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus de Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es,Fuenlabrada
Historia,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"C/ Julián Romea, 18 28003 Madrid",91 514 04 04,www.uspceu.com,info.usp@ceu.es,Madrid
Historia,Universidad a Distancia de Madrid UDIMA,Privada,Facultad de Ciencias Sociales y Humanidades,"Crta. de La Coruña, Km. 38,500 Vía de Servicio, 15 28400 Collado Villalba (Madrid)",902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es,Collado Villalba
Historia del Arte,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Historia del Arte,Universidad Complutense de Madrid,Pública,Facultad de Geografía e Historia Campus de Moncloa,"C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid",91 394 59 90,www.ucm.es,secretariagh@ucm.es,Madrid
Historia del Arte,Universidad San PabloCEU,Privada,Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa,"C/ Julián Romea, 18 28003 Madrid",91 514 04 04,www.uspceu.com,info.usp@ceu.es,Madrid
Historia del Arte,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Geografía e Historia,"Paseo de la Senda del Rey, 7 28040 Madrid",91 398 67 04,www.uned.es,negociado.geohist@adm.uned.es,Madrid
Musicología,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus de Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Musicología,Universidad Alfonso X El Sabio,Privada,Facultad de Música y Artes Escénicas,"Avda. Comandante Franco, 10 bis 28016 Madrid",91 810 92 00,www.uax.es,info@uax.es,Madrid
Musicología,Universidad Complutense de Madrid,Pública,Facultad de Geografía e Historia,"C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid",91 394 59 90,www.ucm.es,secretariagh@ucm.es,Madrid
Musicología,Universidad Europea de Madrid,Privada,Facultad de CC,"C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es,Villaviciosa de Odón
Humanidades,Universidad de Alcalá,Pública,Facultad de Filosofía y Letras Campus Histórico,"C/ Colegios, 2 Colegio de Málaga 28801 Alcalá de Henares (Madrid)",91 885 43 13,www.uah.es/facultad.filosofíayletras,decanato.fyl@uah.es | secalum.filosofia@uah.es,Alcalá de Henares
Humanidades,Universidad Carlos III de Madrid,Pública,"Facultad de Humanidades, Comunicación y Documentación Campus de Getafe","C/ Madrid, 133 28903 Getafe (Madrid)",91 624 06 00,www.uc3m.es,futuroestudiantes@uc3m.es,Getafe
Humanidades,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Comunicación Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es,
"Ciencia, Tecnología y Humanidades",Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Edificio de Biología Campus Cantoblanco,"C/ Darwin, 2 28049 Madrid",91 497 43 31,www.uam.es,informacion.ciencias@uam.es,Madrid
"Ciencia, Tecnología y Humanidades",Universidad Carlos III de Madrid,Pública,"Facultad de Humanidades, Comunicación y Documentación Campus de Getafe","C/ Madrid, 133 28903 Getafe (Madrid)",91 624 06 00,www.uc3m.es,futuroestudiantes@uc3m.es,Getafe
Español: Lengua y Literatura,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
Estudios Hispánicos,Universidad de Alcalá,Pública,Facultad de Filosofía y Letras Campus Histórico,"C/ Trinidad, 3 y 5 Colegio San José de Caracciolos 28801 Alcalá de Henares (Madrid)",91 885 43 13,www.uah.es/facultadfilosofiayletras,decanato.fyl@uah.es | secalum.filosofia@uah.es,Alcalá de Henares
Estudios Hispánicos: Lengua Española y sus Literaturas,Universidad de Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.esGrado,Madrid
Lengua y Literatura Española,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus Fuenlabrada,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es,Fuenlabrada
Lengua y Literatura Española,Universidad Nacional de Educación a Distancia de Madrid UNED,Pública,Facultad de Filología,"Paseo de la Senda del Rey, 7 28040 Madrid",91 398 67 03,www.uned.es,negociado.alumnos.filologia@adm.uned.es,Madrid
Lengua y Literatura Española,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
Estudios Clásicos y de la Antigüedad,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus Cantoblanco,"C/ Francisco Tomás y Valiente,1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Filología Clásica,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
Estudios Ingleses,Universidad de Alcalá,Pública,Facultad de Filosofía y Letras Campus Histórico,"C/ Trinidad, 3 y 5 Colegio San José de Caracciolos 28801 Alcalá de Henares (Madrid)",91 885 43 13,www.uah.es/facultadfilosofiayletras,csecalum.filosofia@uah.es | decanato.fyl@uah.es,Alcalá de Henares
Estudios Ingleses,Universidad de Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Estudios Ingleses,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
Estudios Ingleses,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Filología,"Paseo de la Senda del Rey, 7 28040 Madrid",91 398 68 06,www.uned.es,negociado.alumnos.filologia@adm.uned.es,Madrid
Estudios HispanoAlemanes,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
"Lenguas Modernas, Cultura y Comunicación: español, francés o inglés",Universidad de Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
"Lenguas Modernas, Cultura y Comunicación: español, francés o inglés",Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
"Lenguas Modernas, Cultura y Comunicación: español, francés o inglés",Universidad Antonio de Nebrija,Privada,,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.com,Madrid
Lenguas Modernas y sus Literaturas,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
Paisajismo,Universidad Rey Juan Carlos,Pública,Escuela de Ingeniería de Fuenlabrada Campus de Fuenlabrada,"Camino del Molino, 5 28942 Fuenlabrada (Madrid)",91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es,Fuenlabrada
Lenguas Modernas y Traducción,Universidad de Alcalá,Pública,Facultad de Filosofía y Letras Campus Guadalajara,"C/ Madrid, 1 19001 Guadalajara",91 885 43 13 / 91 885 50 00,www.uah.es/facultadfilosofiayletras,decanato.fyl@uah.es,Guadalajara
Lenguas Modernas y Traducción,Universidad de Alcalá,Pública,Facultad de Filosofía y Letras Campus Guadalajara,"C/ Trinidad, 3 y 5 Colegio San José de Caracciolos 28801 Alcalá de Henares (Madrid)",91 885 43 13 / 91 885 50 00,www.uah.es/facultadfilosofiayletras,decanato.fyl@uah.es,Alcalá de Henares
Traducción e Interpretación,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 1 28049 Madrid",91 497 43 54,www.uam.es,informacion.filosofia@uam.es,Madrid
Traducción e Interpretación,Universidad Complutense de Madrid,Pública,"Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n 28040 Madrid Tel",,91 394 53 43,www.ucm.es,infocom@ucm.es,
Traducción e Interpretación,Universidad Europea de Madrid,Privada,Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es,Villaviciosa de Odón
Traducción e Interpretación,Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales,"C/ Universidad de Comillas, 3 28049 Madrid",91 734 39 21,www.comillas.edu,grado@comillas.edu,Madrid
Traducción e Interpretación,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus Aranjuez Edificio Maestro Rodrigo,"C/ Infantas, 55 28300 Aranjuez (Madrid)",91 488 44 21 / 91 488 70 26,www.urjc.es,aranjuez.secrealumnos@urjc.es,Aranjuez
Traducción e Interpretación,Universidad Rey Juan Carlos,Pública,Facultad de Artes y Humanidades Campus Aranjuez Edificio Maestro Rodrigo,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 44 21 / 91 488 70 26,www.urjc.es,aranjuez.secrealumnos@urjc.es,Móstoles
Antropología Social y Cultural,Universidad Autónoma de Madrid,Pública,Facultad de Filosofía y Letras Campus de Cantoblanco,"C/ Francisco Tomás y Valiente,1 28049 Madrid",91 497 43 54,www.uam.es | www.uam.es/oae/contacto,,Madrid
Antropología Social y Cultural,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Políticas y Sociología Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels,,91 394 29 52,www.ucm.es,inforoir@ucm.es | secre.alumnos@cps.upm.es,
Ciencias de la Actividad Física y del Deporte,Universidad Antonio de Nebrija,Privada,Facultad de CC,C/ del Hostal s/n 28240 Hoyo de Manzanares (Madrid),91 452 11 01,www.nebrija.com,informa@nebrija.es,Hoyo de Manzanares
Ciencias de la Actividad Física y del Deporte,Universidad Autónoma de Madrid,Pública,Facultad de Formación de Profesorado y Educación Campus Cantoblanco,"Avda. de Tomás y Valiente, 3 28049 Madrid",91 497 86 22,www.uam.es,gestiongrado.fprofesorado@uam.es,Madrid
Ciencias de la Actividad Física y del Deporte,Universidad Europea de Madrid,Privada,Facultad de Ciencias de la Actividad Física y el Deporte Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Urbanización El Bosque Edificio D 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,Villaviciosa de Odón
Ciencias de la Actividad Física y del Deporte,Universidad Politécnica de Madrid,Pública,Facultad de Ciencias de la Actividad Física y del Deporte (INEF) Campus Ciudad Universitaria,"Avda. Martín Fierro, 7 28040 Madrid",91 067 78 98,www.inef.upm.es,informacion.academica@upm.es,Madrid
Ciencias de la Actividad Física y del Deporte,Universidad Pontificia Comillas,Privada,Facultad de Ciencias Humanas y Sociales Comillas Cantoblanco,"C/ Universidad de Comillas, 35 28049 Madrid",91 452 28 00,www.comillas.edu,grado@comillas.edu,Madrid
Ciencias de la Actividad Física y del Deporte,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus Alcorcón,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 89 17,www.urjc.es,alcorcon.secretariadealumnos@urjc.es,Alcorcón
Gestión Deportiva,Universidad Europea de Madrid,Privada,Facultad de Ciencias de la Actividad Física y el Deporte Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,Villaviciosa de Odón
"Ciencias del Trabajo, Relaciones Laborales y Recursos Humanos",Universidad a Distancia de MadridUDIMA,Privada,Facultad CC,,902 02 00 03 / 91 189 69 99 / 91 856 16 99,www.udima.es,informa@udima.es,
Relaciones Laborales y Recursos Humanos,Universidad Complutense de Madrid,Pública,Facultad de Derecho Campus de Moncloa,"Avda. Complutense, s/n Ciudad Universitaria 28040 Madrid",91 394 54 28,www.ucm.es,gradorrll@ucm.es,Madrid
Relaciones Laborales y Recursos Humanos,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Paseo Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 00 00 / 91 488 78 00 / 91 488 89 17,www.urjc.es,fcjs.secretariaacademica@urjc.es,Vicálvaro
Relaciones Laborales y Recursos Humanos,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 00 00 / 91 488 78 00 / 91 488 89 17,www.urjc.es,fcjs.secretariaacademica@urjc.es,Alcorcón
Relaciones Labores y Empleo,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Getafe
Ciencias Políticas,Universidad Carlos III de Madrid,Pública,Facultad de Ciencias Sociales y Jurídicas Campus de Getafe,"C/ Madrid, 126 28903 Getafe (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.es,Getafe
Ciencias Políticas,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Políticas y Sociología Campus Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tel,,91 394 29 60,www.ucm.es,inforoir@ucm.es,
Ciencias Políticas,Universidad Europea de Madrid,Privada,Facultad de CC,"C/ Tajo, s/n. Urbanización El Bosque. Edificio E 28670 VIllaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es,VIllaviciosa de Odón
Ciencia Política y Gestión Pública,Universidad Autónoma de Madrid,Pública,Facultad de Derecho Campus de Cantoblanco,"C/ Kelsen, 1 28049 Madrid",91 497 81 51,www.uam.es/oae/contacto,informacion.derecho@uam.es,Madrid
Ciencia Política y Gestión Pública,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias Jurídicas y Políticas Campus Madrid,"Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 78 00 / 91 488 79 27 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es,Vicálvaro
