id;nombre;id_universidad;direccion;telefonos;webs;emails
63;Facultad de Derecho y de Relaciones Internacionales Campus Madrid Princesa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 01;www.nebrija.com;informa@nebrija.com
65;Facultad de Ciencias Sociales Campus MadridPrincesa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.com
77;Facultad de Economía y Empresa Campus MadridPrincesa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 01;www.nebrija.com;informa@nebrija.com
80;Facultad de Ciencias Lenguas y Educación Campus MadridPrincesa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.com
83;Facultad de Lenguas y Educación Campus MadridPrincesa;2;C/ Santa Cruz de Marcenado, 27;91 452 11 03;www.nebrija.com;informa@nebrija.com
107;Facultad de Economía y Empresa;2;C/ Santa Cruz de Marcenado, 27 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.com
134;Escuela Politécnica Superior Campus Madrid Princesa;2;C/ Santa Cruz de Marcenado, 27. 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.es
174;Escuela Politécnica Superior Campus de la Dehesa de la Villa;2;C/ Pirineos, 55 28040 Madrid;91 452 11 00;www.nebrija.com;informa@nebrija.es
193;Escuela Politécnica Superior Campus MadridPrincesa;2;C/ Serrano Jover, 2 28015 Madrid;91 452 11 03;www.nebrija.com;informa@nebrija.com
3;Facultad de Bellas Artes Campus de Moncloa;3;C/ Pintor el Greco, 2 28040 Madrid;91 394 35 60;www.ucm.es;safba@ucm.es
18;Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tel;3;;91 394 53 43;www.ucm.es;infocom@ucm.es
20;Facultad de Filosofía Campus de Moncloa Plaza de Menéndez Pelayo, s/n Ciudad Universitaria 28040 Madrid Tels;3;;91 394 59 82;www.ucm.es;salfilo@ucm.es
22;Facultad de Filosofía Campus de Moncloa Plaza de Menéndez Pelayo, s/n 28040 Madrid Tels;3;;91 394 59 82;www.ucm.es;salfilo@ucm.es
23;Facultad de Geografía e Historia Campus de Moncloa;3;C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid;91 394 59 90;www.ucm.es;secretariagh@ucm.es
31;Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n Ciudad universitaria 28040 Madrid Tel;3;;91 394 53 43;www.ucm.es;infocom@ucm.es
34;Facultad de Filología Campus de Moncloa Plaza Menéndez Pelayo, s/n 28040 Madrid Tel;3;;91 394 53 43;www.ucm.es;infocom@ucm.es
37;Facultad de Ciencias Políticas y Sociología Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels;3;;91 394 29 52;www.ucm.es;inforoir@ucm.es | secre.alumnos@cps.upm.es
44;Facultad de Derecho Campus de Moncloa;3;Avda. Complutense, s/n Ciudad Universitaria 28040 Madrid;91 394 54 28;www.ucm.es;gradorrll@ucm.es
48;Facultad de Ciencias Políticas y Sociología Campus Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tel;3;;91 394 29 60;www.ucm.es;inforoir@ucm.es
56;Facultad de Ciencias Políticas y Sociología Campus Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels;3;;91 394 29 52;www.ucm.es;inforoir@ucm.es | secre.alumnos@cps.ucm.es
57;Facultad de Comercio y Turismo Campus Moncloa;3;Avda. de Islas Filipinas, 3 28003 Madrid;91 394 67 66;www.ucm.es;alumnos.fct@ucm.es
72;Facultad de Ciencias Económicas y Empresariales Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels;3;;91 394 29 99;www.ucm.es;informacion@ccee.ucm.es
87;Facultad de Educación Campus Ciudad Universitaria Edificio La Almudena;3;C/ Rector Royo Villanova, s/n Ciudad Universitaria 28040 Madrid;91 394 61 19;www.ucm.es;secre.alumnos@edu.ucm.es
94;Facultad de Estudios Estadísticos;3;Avda. Puerta de Hierro, s/n Ciudad Universitaria 28040 Madrid;91 394 40 04;www.ucm.es;pweb@estad.ucm.es
95;Facultad de Geografía e Historia Edificio B Campus Ciudad Universitaria;3;C/ Profesor Aranguren, s/n Ciudad Universitaria 28040 Madrid;91 394 57 41;www.ucm.es;informacion@ucm.es
96;Facultad de Ciencias de la Documentación;3;C/ Santísima Trinidad, 37 28010 Madrid;91 394 66 62;www.ucm.es;infccdoc@ucm.es
98;Facultad de Ciencias de la Información Campus Ciudad Universitaria;3;Avda. Complutense, s/n Ciudad Universitaria 28040 Madrid;91 394 21 12;www.ucm.es;secre.alumnos@ccinf.ucm.es
104;Facultad de Trabajo Social Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tels;3;;91 394 29 99;www.ucm.es;infotrs@trs.ucm.es
108;Facultad de Comercio y Turismo;3;Avda. Filipinas, 3 28003 Madrid;91 394 67 67;www.ucm.es;alumnos.fct@ucm.es
114;Facultad de Ciencias Biológicas;3;C/ José Antonio Novais,12 Ciudad Universitaria 28040 Madrid;91 394 50 29;www.ucm.es;biosecrest@ucm.es
124;Facultad de Veterinaria;3;Avda. Puerta del Hierro, s/n Ciudad Universitaria 28040 Madrid;91 394 38 76;www.ucm.es;gervet@ucm.es
133;Facultad de Ciencias Físicas Ciudad Universitaria Plaza de Ciencias, 1 28040 Madrid Tels;3;;91 394 46 27;www.ucm.es;infofisicas@ucm.es
135;Facultad de Ciencias Geológicas;3;C/ José Antonio Novais, 12 Ciudad Universitaria 28040 Madrid;91 394 48 37;www.ucm.es;infoweb@geo.ucm.es
136;Facultad de Ciencias Matemáticas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel;3;;91 394 46 24;www.ucm.es;sdamat@ucm.es
139;Facultad de Ciencias Químicas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel;3;;91 394 42 98;www.ucm.es;informacion@ucm.es
145;Facultad de Enfermería, Fisioterapia y Podología;3;Pza. Ramón y Cajal, 3 Ciudad Universitaria 28040 Madrid;91 394 15 24;www.ucm.es;secre.alumnos@enf.ucm.es | secre.decaenf@ucm.es
151;Facultad de Farmacia Campus de Moncloa Plaza de Ramón y Cajal, s/n Ciudad Universitaria 28040 Madrid Tels;3;;91 394 72 19;www.ucm.es;información@ucm.es
154;Facultad de Psicología Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tel;3;;91 394 31 78;www.ucm.es;conps@ucm.es
157;Facultad de Medicina Campus de Ciudad Universitaria;3;Pza. Ramón y Cajal, s/n 28040 Madrid;91 394 13 01;www.ucm.es;decmed@ucm.es | secre.alumnos@med.ucm.es
161;Facultad de Odontología Campus de Ciudad Universitaria;3;Pza. Ramón y Cajal, 3 28040 Madrid;91 394 19 10;www.ucm.es;infodon@pas.ucm.es
163;Facultad de Óptica y Optometría;3;Avda. Arcos de Jalón, 118 28037 Madrid;91 394 68 76;www.ucm.es;infopt@ucm.es
166;Facultad de Psicología Campus Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tel;3;;91 394 31 78;www.ucm.es;conpsi@ucm.es
171;Facultad de Veterinaria Campus de Ciudad Universitaria;3;Avda. Puerta de Hierro, s/n Ciudad Universitaria 28040 Madrid;91 394 38 76;www.ucm.es;gervet@ucm.es
185;Facultad de Ciencias Químicas Campus Ciudad Universitaria;3;Pza. de las Ciencias 28040 Madrid;91 394 43 47;www.quimicas.ucm.es | www.ucm.es;
201;Facultad de Ciencias Geológicas Ciudad Universitaria;3;C/ José Antonio Novais, 12 28040 Madrid;91 394 48 37;www.ucm.es;infoweb@geo.ucm.es
203;Facultad de Ciencias Matemáticas;3;Pza. de Ciencias, 3. Ciudad Universitaria 28040 Madrid;91 394 46 00;www.ucm.es;informacion@ucm.es
205;Facultad de Ciencias Físicas Campus de Ciudad Universitaria;3;Pza. de Ciencias, 1. Ciudad Universitaria 28040 Madrid;91 394 46 27;www.ucm.es;infofisicas@ucm.es
208;Facultad de Ciencias Físicas Campus Ciudad Universitaria;3;Pza. de Ciencias,1 28040 Madrid;91 394 46 48;www.ucm.es;infofisicas@ucm.es | informacion@ucm.es
215;Facultad de Informática;3;C/ Profesor José García Santesmases, 9 Ciudad Universitaria 28040 Madrid;91 394 75 02;www.ucm.es;salfdi@ucm.es
218;Facultad de Informática Campus de Moncloa;3;C/ Profesor José García Santesmases, 9 Ciudad Universitaria 28040 Madrid;91 394 75 02;www.ucm.es;salfdi@ucm.es
222;Facultad de Informática Campus Moncloa;3;C/ Profesor José García Santesmases, 9 Ciudad Universitaria 28040 Madrid;91 394 75 02;www.ucm.es;salfdi@ucm.es
4;Facultad de Ciencias de la Comunicación Ctra;4;;91 351 03 03 / 91 709 14 00;www.ufv.es;info@ufv.es
59;Facultad de Derecho, Empresa y Gobierno Ctra;4;;91 351 03 03 / 91 709 14 00;www.ufv.es;info@ufv.es
62;Facultad de de Derecho, Empresa y Gobierno Ctra;4;;91 351 03 03;www.ufv.es;info@ufv.es
81;Facultad de Educación y Psicología Ctra;4;;91 351 03 03 / 91 709 14 00;www.ufv.es;info@ufv.es
118;Facultad de Ciencias Experimentales Ctra;4;;91 351 03 03;www.ufv.es;info@ufv.es
143;Facultad de Ciencias CC;4;;91 351 03 03;www.ufv.es;info@ufv.es
146;Facultad de Ciencias de la Salud Ctra;4;;91 351 03 03 / 91 709 14 00;www.ufv.es;info@ufv.es
172;Escuela Politécnica Superior Ctra;4;;91 351 03 03;www.ufv.es;info@ufv.es
5;Facultad de Artes y Humanidades Campus de Aranjuez Edificio Pavía;5;C/ San Pascual, s/n 28300 Aranjuez (Madrid);91 488 44 21;www.urjc.es;aranjuez.secretariadealumnos@urjc.es
7;Facultad de Artes y Humanidades Campus de Fuenlabrada;5;Camino del Molino, s/n 28943 Fuenlabrada (Madrid);91 488 84 01;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es
12;Facultad de Artes y Humanidadess Campus de Aranjuez Edificio Pavía;5;C/ San Pascual, s/n 28300 Aranjuez (Madrid);91 488 44 21 / 91 555 25 28;www.udit.es | www.urjc.es;aranjuez.secretariadealumnos@urjc.es | secretaria.alumnos@udit.es
29;Facultad de Artes y Humanidades Campus Fuenlabrada;5;Camino del Molino, s/n 28943 Fuenlabrada (Madrid);91 488 84 01;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es
32;Escuela de Ingeniería de Fuenlabrada Campus de Fuenlabrada;5;Camino del Molino, 5 28942 Fuenlabrada (Madrid);91 488 84 01;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es
36;Facultad de Artes y Humanidades Campus Aranjuez Edificio Maestro Rodrigo;5;C/ Infantas, 55 28300 Aranjuez (Madrid);91 488 44 21 / 91 488 70 26;www.urjc.es;aranjuez.secrealumnos@urjc.es
42;Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus Alcorcón;5;Avda. de Atenas, s/n 28922 Alcorcón (Madrid);91 488 89 17;www.urjc.es;alcorcon.secretariadealumnos@urjc.es
45;Facultad de Ciencias Jurídicas y Políticas Campus Madrid;5;Paseo Artilleros, s/n 28032 Vicálvaro (Madrid);91 488 00 00 / 91 488 78 00 / 91 488 89 17;www.urjc.es;fcjs.secretariaacademica@urjc.es
60;Facultad de Ciencias de la Economía y de la Empresa Campus Madrid Vicálvaro;5;Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid);91 488 44 17 / 91 488 70 26 / 91 488 78 00 / 91 488 79 27 / 91 488 84 01 / 91 661 74 35;www.urjc.es;aranjuez.secretariadealumnos@urjc.es | fcjs.secretariaacademica@urjc.es
74;Facultad de Ciencias de la Economía y de la Empresa Campus Madrid;5;Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid);91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.esFacultad | mostoles.secretariadealumnos@urjc.es
82;Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus Madrid;5;Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid);91 350 12 12 / 91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35;www.eserp.com | www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es | info@eserp.com | mostoles.secretariadealumnos@urjc.es
84;Facultad de Ciencias Jurídicas y Sociales Campus Madrid;5;Paseo de los Artilleros, s/n 28032 Vicálvaro (Madrid);91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariadealumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
89;Facultad de Ciencias de la Economía y de la Empresa Campus de Fuenlabrada;5;Camino del Molino, s/n 28943 Fuenlabrada (Madrid);91 488 70 26 / 91 488 78 00 / 91 488 84 01 / 91 664 74 35;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
90;Facultad de Ciencias de la Economía y de la Empresa Campus de Madrid;5;Paseo Artilleros, s/n 28032 Vicálvaro (Madrid);91 488 78 00;www.urjc.es;madrid.secretariaalumnos@urjc.es
97;Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares Campus de Alcorcón;5;Avda. de Atenas, s/n 28922 Alcorcón (Madrid);91 488 83 46 / 91 488 89 17;www.urjc.es;alcorcon.secretariadealumnos@urjc.es | ferraz.secretaria@urjc.es
100;Facultad de Ciencias de la Comunicación Campus de Fuenlabrada;5;Camino del Molino, s/n 28943 Fuenlabrada (Madrid);91 488 78 00 / 91 488 84 01;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
105;Facultad de Ciencias Jurídicas y Política Campus de Alcorcón;5;Avda. de Atenas, s/n 28922 Alcorcón (Madrid);91 488 88 00 / 91 488 89 17;www.urjc.es;alcorcon.secretariadealumnos@urjc.es
110;Facultad de Ciencias de la Economía y de la Empresa Facultad de Ciencias de la Econo mía y de la Empresa Campus de Madrid;5;Paseo Artilleros, s/n 28032 Vicálvaro (Madrid);91 488 78 00 / 91 488 84 01;www.urjc.es;fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
112;Facultad de Ciencias de la Comunicación Campus Madrid;5;Paseo Artilleros, s/n 28032 Vicálvaro (Madrid);91 488 79 27 / 91 488 83 46;www.urjc.es;ferraz.secretariadealumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
115;Escuela Superior de Ciencias Experimentales y Tecnología Campus Mostoles;5;C/ Tulipán, s/n 28933 Móstoles (Madrid);91 664 74 18;www.urjc.es;escet.director@urjc.es
122;Escuela Superior de Ciencias Experimentales y Tecnología Campus de Móstoles;5;C/ Tulipán, s/n 28933 Móstoles (Madrid);91 664 74 18;www.urjc.es;escet.director@urjc.es
125;Escuela Superior de Ciencias Experimentales y Tecnología Campus Móstoles;5;C/ Tulipán, s/n 28933 Móstoles (Madrid);91 664 74 18;www.urjc.es;escet.director@urjc.es
137;Escuela Técnica Superior de Ingeniería Informática Campus Móstoles;5;C/ Tulipán, s/n 28933 Móstoles (Madrid);91 488 76 23;www.urjc.es;etsii.info@urjc.es
148;Facultad de Ciencias de la Salud Campus de Alcorcón;5;Avda. de Atenas, s/n 28922 Alcorcón (Madrid);91 488 89 17 / 91 488 93 93;www.urjc.es;alcorcon.secretariadealumnos@urjc.es
152;Facultad de Ciencias de la Salud Campus Alcorcón;5;Avda. de Atenas, s/n 28922 Alcorcón (Madrid);91 488 89 17 / 91 488 93 93;www.urjc.es;alcorcon.secretariadealumnos@urjc.es
176;Escuela de Ingeniería de Fuenlabrada Campus Fuenlabrada;5;Camino del Molino, s/n 28943 Fuenlabrada (Madrid);91 488 84 01 / 91 488 93 93;www.urjc.es;secretariaacademica@urjc.es
190;Escuela de Ingeniería de Fuenlabrada Campus de Alcorcón (también en inglés);5;Avda. de Atenas, s/n 28922 Alcorcón (Madrid);91 488 89 17;www.urjc.es;alcorcon.secretariadealumnos@urjc.es
206;Escuela Superior de Ciencias Experimenta les y Tecnología Campus de Móstoles;5;C/ Tulipán, s/n 28933 Móstoles (Madrid);91 664 74 18 / 91 665 50 61;www.urjc.es;escet.director@urjc.es
217;Escuela Técnica Superior de Ingeniería Informática Campus de Móstoles;5;C/ Tulipán, s/n 28933 Móstoles (Madrid);91 488 70 26 / 91 664 74 35;www.urjc.es;mostoles.secretariadealumnos@urjc.es
223;Escuela Técnica Superior de Ingeniería de Telecomunicación Campus Fuenlabrada;5;Camino del Molino, 5 28942 Fuenlabrada (Madrid);91 488 72 21;www.urjc.es;etsit.director@urjc.es | etsit.sec.academica@urjc.es
8;Facultad de Música y Artes Escénicas;6;Avda. Comandante Franco, 10 bis 28016 Madrid;91 810 92 00;www.uax.es;info@uax.es
52;Facultad de Estudios Sociales y Lenguas Aplicadas Campus de Villanueva de la Cañada;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
79;Facultad de Educación;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
88;Facultad de Estudios Sociales y Lenguas Aplicadas;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
116;Facultad de Farmacia Campus de Villanueva de la Cañada;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
131;Escuela Politécnica Superior Campus de Villanueva de la Cañada;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
141;Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
156;Facultad de Ciencias de la Salud;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
170;Facultad de Veterinaria Campus de Villanueva de la Cañada;6;Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
187;Escuela Politécnica Superior;6;Avda. de la Universidad,1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
202;Escuela Poltécnica Superior Campus de Villanueva de la Cañada;6;Avda. de la Universidad,1 28691 Villanueva de la Cañada (Madrid);91 810 92 00;www.uax.es;info@uax.es
10;Facultad de Humanidades y Ciencias de la Comunicación Campus de Moncloa;7;C/ Julián Romea, 18 28003 Madrid;91 514 04 04 / 91 555 25 28;www.udit.es | www.uspceu.com;info.usp@ceu.es | secretaria.alumnos@udit.es
15;Escuela Politécnica Superior Campus de Montepríncipe Ctra;7;;91 372 40 35;www.uspceu.com;info.usp@ceu.es
61;Facultad de Ciencias Económicas y Empresariales Campus de Moncloa;7;C/ Julián Romea, 23 28003 Madrid;91 456 63 00;www.uspceu.com;info.usp@ceu.es
75;Facultad de Ciencias Económicas y Empresariales Campus Moncloa;7;C/ Julián Romea, 23 28003 Madrid;91 456 63 00 / 91 514 04 00;www.uspceu.com;info.usp@ceu.es
149;Facultad de Medicina Campus de Monteprincipe;7;Urb. Montepríncipe 28925 Alcorcón (Madrid);91 372 47 00;www.uspceu.com;info.usp@ceu.es
158;Facultad de Medicina Campus de Montepríncipe;7;Urb. Montepríncipe 28925 Alcorcón (Madrid);91 372 47 00;www.uspceu.com;info.usp@ceu.es
160;Facultad de Farmacia;7;Urb. Montepríncipe 28925 Alcorcón (Madrid);91 372 47 00;www.uspceu.es;info.usp@ceu.es
164;Facultad de Farmacia Campus Montepríncipe Ctra;7;;91 372 47 00;www.uspceu.com;info.usp@ceu.es
167;Facultad de Medicina Campus Montepríncipe;7;Urb. Montepríncipe 28925 Alcorcón (Madrid);91 372 47 00;www.uspceu.com;info.usp@ceu.es
173;Escuela Politécnica Superior Campus de Montepríncipe;7;Urb. Montepríncipe 28925 Alcorcón (Madrid);91 372 40 35;www.uspceu.com;info.usp@ceu.es
191;Escuela Politécnica Superior Campus Montepríncipe;7;Urb. Monteprincipe 28925 Alcorcón (Madrid);91 372 47 00;www.ucpceu.es;secretariamonteprincipe@ceu.es
211;Escuela Politécnica Superior Campus Montepríncipe 28925 Alcorcón (Madrid) Tels;7;;91 372 40 35;www.uspceu.com;info.usp@ceu.es
11;Escuela de Arquitectura, Ingeniería y Diseño;8;C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 414 66 11 / 91 740 72 72;www.universidadeuropea.es/madrid;ads@uem.es
13;Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón;8;C/ Tajo, s/n. Edificio C Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 740 72 72;www.universidadeuropea.es/madrid;ads@uem.es
14;Escuela de Arquitectura, Ingeniería y Diseño Campus Universitario de Villaviciosa de Odón;8;C/Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 555 25 28 / 91 740 72 72;www.udit.es | www.universidadeuropea.es/madrid;ads@uem.esUniversidad | secretaria.alumnos@udit.es
27;Facultad de CC;8;C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 740 72 72;www.universidadeuropea.es/madrid;ads@uem.es
35;Facultad de Ciencias Sociales y de la Comunicación Campus de Villaviciosa de Odón;8;C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 740 72 72;www.universidadeuropea.es/madrid;ads@uem.es
39;Facultad de Ciencias de la Actividad Física y el Deporte Campus de Villaviciosa de Odón;8;C/ Tajo, s/n. Urbanización El Bosque Edificio D 28670 Villaviciosa de Odón (Madrid);91 740 72 72;www.universidadeuropea.es/madrid;ads@universidadeuropea.es
99;Facultad de Ciencias Sociales y de la Comunicación Campus Villaviciosa de Odón;8;C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 740 72 72;www.universidadeuropea.es/madrid;ads@universidadeuropea.es
102;Facultad de Ciencias Sociales y de la Co municación Campus de Villaviciosa de Odón;8;C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 740 72 72;www.universidadeuropea.es/madrid;ads@universidadeuropea.es
117;Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón;8;C/ Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 414 66 11 / 91 740 72 72;www.universidadeuropea.es/madrid;ads@universidadeuropea.es
162;Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón y Clinicas Universitarias;8;C/ Tajo, s/n. Edificio A. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid);91 385 88 00 / 91 526 81 00 / 91 740 72 72;www.universidadeuropea.es/madrid;ads@universidadeuropea.es | policlinica@universidadeuropea.es
16;Facultad de Humanidades, Comunicación y Documentación Campus de Getafe;9;C/ Madrid, 133 28903 Getafe (Madrid);91 624 60 00;www.uc3m.es;futuroestudiantes@uc3m.es
46;Facultad de Ciencias Sociales y Jurídicas;9;C/ Madrid, 126 28903 Getafe (Madrid);91 624 60 00;www.uc3m.es;futurosestudiantes@uc3m.es
47;Facultad de Ciencias Sociales y Jurídicas Campus de Getafe;9;C/ Madrid, 126 28903 Getafe (Madrid);91 624 60 00;www.uc3m.es;futurosestudiantes@uc3m.es
51;Facultad de Humanidades, Comunicación y Documentación;9;C/ Madrid, 126 28903 Getafe (Madrid);91 624 06 00;www.uc3m.es;futuroestudiantes@uc3m.es
71;Facultad de Ciencias Sociales y Jurídicas Campus Getafe;9;C/ Madrid, 126 28903 Getafe (Madrid);91 624 60 00;www.uc3m.es;futurosestudiantes@uc3m.es
93;Facultad de Ciencias Sociales y Jurídicas Campus de Colmenarejo;9;Avda. Universidad Carlos III, 22 28270 Colmenarejo (Madrid);91 624 60 00;www.uc3m.es;futuroestudiantes@uc3m.es
121;Escuela Politécnica Superior Edificio Sabatini, planta baja Campus Leganés;9;Avda. de la Universidad, 30 28911 Leganés (Madrid);91 624 60 00;www.uc3m.es;futurosestudiantes@uc3m.esUniversidad
180;Escuela Politécnica Superior Campus Leganés;9;Avda. de la Universidad, 30 28911 Leganés (Madrid);91 624 60 00;www.uc3m.es;futurosestudiantes@uc3m.es
17;Facultad de Filosofía y Letras Campus de Cantoblanco;10;C/ Francisco Tomás y Valiente, 1 28049 Madrid;91 497 43 54;www.uam.es;informacion.filosofia@uam.es
19;Facultad de Filosofía y Letras Campus Cantoblanco;10;C/ Francisco Tomás y Valiente,1 28049 Madrid;91 497 43 54;www.uam.es;informacion.filosofia@uam.es
28;Facultad de Ciencias Edificio de Biología Campus Cantoblanco;10;C/ Darwin, 2 28049 Madrid;91 497 43 31;www.uam.es;informacion.ciencias@uam.es
38;Facultad de Formación de Profesorado y Educación Campus Cantoblanco;10;Avda. de Tomás y Valiente, 3 28049 Madrid;91 497 86 22;www.uam.es;gestiongrado.fprofesorado@uam.es
49;Facultad de Derecho Campus de Cantoblanco;10;C/ Kelsen, 1 28049 Madrid;91 497 81 51;www.uam.es/oae/contacto;informacion.derecho@uam.es
